player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Djavan Anderson,nl NED,DF,Lazio,25,1995,3.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,71.9,265.0,37.0,15.0,19.0,78.9,7.0,8.0,87.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,35.0,1.0,7.0,14.0,14.0,0.0,35.0,0.0,2.0,0.0,20.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,40.0,85.0,978.0,673.0,6.0,6.0,100.0,19.0,19.0,100.0,9.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,36.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,51.0,9.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cristian Ansaldi,ar ARG,""DF,FW"",Torino,33,1986,31.0,20.0,1947.0,1.0,6.0,1.0,1.0,1.0,0.0,0.05,0.28,0.32,0.0,0.28,1.9,1.1,0.09,0.05,21.6,6.0,4.0,35.3,0.28,0.0,0.0,0.07,-0.9,-1.1,674.0,997.0,67.6,12959.0,5276.0,308.0,350.0,88.0,242.0,345.0,70.1,106.0,248.0,42.7,36.0,64.0,40.0,34.0,47.0,757.0,239.0,32.0,0.0,26.0,177.0,22.0,3.0,16.0,0.0,185.0,1.0,28.0,73.0,3.37,43.0,15.0,5.0,4.0,3.0,8.0,0.37,7.0,0.0,1.0,0.0,0.0,0.0,48.0,33.0,25.0,14.0,9.0,24.0,38.0,63.2,14.0,21.0,7.0,14.0,16.0,38.0,0.0,1192.0,60.0,305.0,476.0,428.0,31.0,1191.0,28.0,54.0,51.9,655.0,26.0,17.0,0.0,24.0,22.0,0.0,0.0,1.0,0.0,99.0,7.0,14.0,33.3"
Valentin Antov,bg BUL,DF,Bologna,19,2000,5.0,2.0,232.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,108.0,122.0,88.5,2181.0,851.0,41.0,42.0,97.6,51.0,55.0,92.7,16.0,25.0,64.0,1.0,4.0,0.0,0.0,5.0,109.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,3.0,10.0,30.0,7.0,6.0,5.0,1.0,4.0,13.0,0.0,153.0,30.0,100.0,51.0,2.0,0.0,153.0,1.0,1.0,100.0,93.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0,37.5
Nicolò Armini,it ITA,DF,Lazio,19,2001,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,93.0,31.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tolgay Arslan,de GER,MF,Udinese,29,1990,30.0,25.0,1818.0,3.0,0.0,0.0,0.0,9.0,0.0,0.15,0.0,0.15,0.15,0.15,0.9,0.9,0.04,0.04,20.2,6.0,0.0,27.3,0.3,0.14,0.5,0.04,2.1,2.1,749.0,890.0,84.2,12827.0,2917.0,341.0,380.0,89.7,325.0,363.0,89.5,62.0,97.0,63.9,9.0,73.0,12.0,2.0,48.0,853.0,31.0,26.0,1.0,10.0,13.0,2.0,1.0,1.0,0.0,3.0,6.0,12.0,36.0,1.78,26.0,1.0,2.0,1.0,4.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,52.0,32.0,24.0,24.0,4.0,25.0,54.0,46.3,29.0,22.0,2.0,20.0,22.0,15.0,1.0,1089.0,22.0,227.0,651.0,229.0,19.0,1089.0,34.0,48.0,70.8,727.0,22.0,22.0,0.0,38.0,45.0,0.0,0.0,1.0,0.0,139.0,11.0,9.0,55.0
"Kwadwo Asamoah,gh GHA,""DF,MF"",Cagliari,31,1988,9.0,1.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,2.5,1.0,0.0,50.0,0.4,0.0,0.0,0.04,-0.1,-0.1,95.0,114.0,83.3,1746.0,455.0,43.0,48.0,89.6,38.0,43.0,88.4,12.0,17.0,70.6,0.0,10.0,2.0,0.0,6.0,102.0,12.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,1.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,2.0,3.0,66.7,1.0,5.0,1.0,4.0,4.0,2.0,1.0,136.0,8.0,34.0,69.0,35.0,1.0,136.0,2.0,3.0,66.7,77.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,66.7"
Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,6.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,10.0,19.0,52.6,146.0,67.0,8.0,12.0,66.7,1.0,2.0,50.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,31.0,2.0,13.0,13.0,5.0,1.0,31.0,1.0,1.0,100.0,16.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
