player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,2.0,180.0,5.0,2.5,6.0,1.0,16.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.7,0.62,-1.3,-0.64,7.0,13.0,53.8,31.0,6.0,25.8,29.4,9.0,55.6,43.1,23.0,0.0,0.0,0.0,0.0,11.0
Emil Audero,it ITA,GK,Sampdoria,23,1997,37.0,37.0,3330.0,54.0,1.46,173.0,118.0,72.8,14.0,7.0,16.0,6.0,16.2,9.0,7.0,2.0,0.0,37.0,1.0,6.0,1.0,51.9,0.25,-1.1,-0.03,213.0,543.0,39.2,986.0,180.0,38.2,35.0,259.0,64.1,45.3,563.0,12.0,2.1,34.0,0.92,14.8
Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,1.0,0.0,28.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.02,0.0,0.06,5.0,9.0,55.6,7.0,0.0,71.4,43.0,4.0,100.0,66.5,6.0,0.0,0.0,0.0,0.0,9.0
Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8.0,8.0,720.0,5.0,0.62,21.0,15.0,85.7,7.0,1.0,0.0,3.0,37.5,3.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,5.5,0.13,0.5,0.07,25.0,62.0,40.3,245.0,45.0,20.4,27.4,61.0,19.7,25.0,122.0,1.0,0.8,9.0,1.13,15.2
Simone Colombi,it ITA,GK,Parma,29,1991,2.0,2.0,180.0,7.0,3.5,10.0,3.0,40.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.4,0.35,-2.6,-1.28,17.0,30.0,56.7,41.0,6.0,53.7,37.5,11.0,72.7,49.4,27.0,0.0,0.0,0.0,0.0,7.5
Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37.0,37.0,3330.0,56.0,1.51,185.0,129.0,71.9,17.0,10.0,10.0,7.0,18.9,5.0,4.0,1.0,0.0,37.0,0.0,4.0,1.0,53.6,0.27,-1.4,-0.04,118.0,319.0,37.0,1114.0,172.0,24.0,27.7,240.0,21.7,24.1,513.0,26.0,5.1,34.0,0.92,15.1
Alex Cordaz,it ITA,GK,Crotone,37,1983,36.0,36.0,3240.0,91.0,2.53,207.0,118.0,58.5,6.0,3.0,27.0,2.0,5.6,5.0,5.0,0.0,0.0,36.0,2.0,9.0,2.0,72.1,0.33,-16.9,-0.47,195.0,502.0,38.8,1134.0,164.0,33.5,31.8,306.0,39.9,33.2,555.0,18.0,3.2,36.0,1.0,15.1
Angelo da Costa Júnior,br BRA,GK,Bologna,36,1983,6.0,6.0,540.0,9.0,1.5,27.0,18.0,70.4,0.0,5.0,1.0,1.0,16.7,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,8.6,0.33,-0.4,-0.06,27.0,53.0,50.9,240.0,24.0,17.9,27.6,43.0,23.3,26.3,86.0,5.0,5.8,10.0,1.67,15.0
Alessio Cragno,it ITA,GK,Cagliari,26,1994,34.0,34.0,3060.0,53.0,1.56,182.0,129.0,73.6,6.0,10.0,18.0,6.0,17.6,5.0,5.0,0.0,0.0,34.0,1.0,7.0,0.0,54.2,0.27,1.2,0.03,175.0,429.0,40.8,688.0,139.0,39.1,33.5,274.0,58.4,42.0,530.0,19.0,3.6,22.0,0.65,14.2
Gian Crespi,it ITA,GK,Crotone,19,2001,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.44,0.4,0.44,7.0,11.0,63.6,29.0,4.0,27.6,26.3,11.0,27.3,28.0,14.0,0.0,0.0,1.0,1.0,18.7
