player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Adrian Šemper,hr CRO,GK,Genoa,23,1998,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.28,-0.1,-0.06,6.0,21.0,28.6,30.0,3.0,50.0,38.5,7.0,85.7,52.0,14.0,2.0,14.3,0.0,0.0,11.2
Luigi Sepe,it ITA,GK,Salernitana,30,1991,16.0,16.0,1392.0,24.0,1.55,78.0,54.0,73.1,2.0,8.0,4.0,1.0,6.3,3.0,3.0,0.0,0.0,15.5,0.0,1.0,0.0,24.6,0.28,0.6,0.04,166.0,320.0,51.9,433.0,45.0,54.7,40.8,130.0,63.8,46.4,235.0,10.0,4.3,13.0,0.84,16.0
Marco Silvestri,it ITA,GK,Udinese,30,1991,35.0,35.0,3150.0,50.0,1.43,141.0,92.0,68.1,10.0,14.0,11.0,7.0,20.0,7.0,5.0,0.0,2.0,35.0,0.0,4.0,1.0,45.5,0.29,-3.5,-0.1,167.0,430.0,38.8,677.0,106.0,46.1,36.7,252.0,46.8,38.4,462.0,16.0,3.5,10.0,0.29,11.0
Salvatore Sirigu,it ITA,GK,Genoa,34,1987,37.0,37.0,3330.0,59.0,1.59,180.0,122.0,69.4,4.0,16.0,17.0,10.0,27.0,5.0,4.0,1.0,0.0,37.0,3.0,7.0,2.0,50.6,0.26,-6.4,-0.17,257.0,605.0,42.5,916.0,100.0,46.3,36.6,263.0,68.8,45.9,476.0,14.0,2.9,20.0,0.54,12.9
Łukasz Skorupski,pl POL,GK,Bologna,30,1991,36.0,36.0,3240.0,53.0,1.47,174.0,122.0,74.1,11.0,9.0,16.0,12.0,33.3,9.0,8.0,1.0,0.0,36.0,1.0,3.0,2.0,53.3,0.26,2.3,0.06,193.0,459.0,42.0,956.0,164.0,39.1,34.0,294.0,28.9,26.6,498.0,27.0,5.4,14.0,0.39,11.3
Marco Sportiello,it ITA,GK,Atalanta,29,1992,5.0,5.0,450.0,5.0,1.0,18.0,13.0,83.3,0.0,3.0,2.0,2.0,40.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,5.6,0.2,0.6,0.12,8.0,33.0,24.2,107.0,33.0,14.0,26.0,28.0,64.3,47.0,45.0,1.0,2.2,4.0,0.8,13.9
Thomas Strakosha,al ALB,GK,Lazio,26,1995,23.0,23.0,2070.0,29.0,1.26,86.0,58.0,67.4,12.0,6.0,5.0,7.0,30.4,1.0,1.0,0.0,0.0,23.0,1.0,3.0,1.0,28.6,0.32,0.6,0.03,79.0,161.0,49.1,618.0,92.0,22.2,28.5,119.0,20.2,23.6,283.0,11.0,3.9,16.0,0.7,14.5
Wojciech Szczęsny,pl POL,GK,Juventus,31,1990,33.0,33.0,2970.0,29.0,0.88,105.0,73.0,75.2,18.0,9.0,6.0,12.0,36.4,6.0,3.0,3.0,0.0,33.0,2.0,5.0,0.0,30.6,0.24,1.6,0.05,124.0,273.0,45.4,836.0,159.0,26.6,30.8,172.0,29.7,31.5,481.0,24.0,5.0,25.0,0.76,13.5
Ciprian Tătărușanu,ro ROU,GK,Milan,35,1986,6.0,6.0,540.0,10.0,1.67,24.0,14.0,66.7,4.0,1.0,1.0,1.0,16.7,3.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,8.9,0.25,-0.1,-0.02,33.0,74.0,44.6,168.0,14.0,36.3,33.3,36.0,36.1,35.0,82.0,6.0,7.3,3.0,0.5,12.5
Pietro Terracciano,it ITA,GK,Fiorentina,31,1990,32.0,31.0,2862.0,43.0,1.35,100.0,58.0,59.0,16.0,5.0,10.0,9.0,29.0,3.0,2.0,1.0,0.0,31.8,0.0,2.0,2.0,31.6,0.29,-9.4,-0.29,197.0,464.0,42.5,1356.0,141.0,29.8,32.2,170.0,35.3,33.7,291.0,22.0,7.6,51.0,1.6,16.7
Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38.0,38.0,3420.0,70.0,1.84,216.0,150.0,69.9,10.0,11.0,17.0,7.0,18.4,10.0,5.0,2.0,3.0,38.0,1.0,5.0,6.0,65.2,0.28,1.2,0.03,133.0,386.0,34.5,1066.0,215.0,26.2,29.5,257.0,41.6,37.5,602.0,35.0,5.8,38.0,1.0,13.9
Jeroen Zoet,nl NED,GK,Spezia,30,1991,7.0,7.0,630.0,19.0,2.71,43.0,23.0,58.1,1.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0,3.0,0.0,13.1,0.26,-5.9,-0.84,20.0,69.0,29.0,182.0,41.0,26.9,30.7,54.0,37.0,37.4,95.0,2.0,2.1,6.0,0.86,16.4
Petar Zovko,ba BIH,GK,Spezia,19,2002,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,8.0,3.0,37.5,35.9,2.0,50.0,35.0,4.0,0.0,0.0,2.0,6.21,28.5
