player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,Roma,23,1997,37.0,36.0,3084.0,17.0,4.0,3.0,3.0,9.0,0.0,0.5,0.12,0.61,0.41,0.53,19.2,16.8,0.56,0.49,34.3,35.0,3.0,38.0,1.02,0.15,0.4,0.18,-2.2,-2.8,485.0,696.0,69.7,6820.0,1622.0,293.0,401.0,73.1,134.0,180.0,74.4,28.0,39.0,71.8,38.0,35.0,27.0,3.0,70.0,627.0,67.0,6.0,5.0,1.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,20.0,94.0,2.74,62.0,1.0,6.0,17.0,7.0,14.0,0.41,6.0,0.0,2.0,3.0,3.0,0.0,27.0,13.0,7.0,14.0,6.0,9.0,22.0,40.9,13.0,17.0,3.0,14.0,5.0,27.0,0.0,1064.0,32.0,73.0,508.0,495.0,173.0,1061.0,38.0,77.0,49.4,494.0,41.0,31.0,22.0,736.0,86.0,41.0,0.0,38.0,49.0,17.0,1.0,1.0,0.0,68.0,78.0,80.0,49.4
Francesco Acerbi,it ITA,DF,Lazio,33,1988,30.0,29.0,2536.0,4.0,0.0,0.0,0.0,2.0,1.0,0.14,0.0,0.14,0.14,0.14,2.2,2.2,0.08,0.08,28.2,7.0,0.0,46.7,0.25,0.27,0.57,0.15,1.8,1.8,1837.0,2043.0,89.9,34996.0,12273.0,678.0,731.0,92.7,919.0,968.0,94.9,211.0,296.0,71.3,5.0,119.0,6.0,0.0,119.0,1955.0,87.0,77.0,1.0,34.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,17.0,0.61,13.0,1.0,0.0,1.0,2.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,25.0,12.0,15.0,9.0,1.0,12.0,19.0,63.2,7.0,37.0,28.0,9.0,34.0,92.0,0.0,2295.0,268.0,1102.0,1143.0,59.0,22.0,2295.0,4.0,6.0,66.7,1364.0,31.0,19.0,0.0,1641.0,13.0,4.0,0.0,18.0,16.0,4.0,1.0,0.0,0.0,162.0,69.0,43.0,61.6
Michel Aebischer,ch SUI,MF,Bologna,24,1997,12.0,4.0,443.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,4.9,2.0,0.0,100.0,0.41,0.0,0.0,0.07,-0.1,-0.1,205.0,239.0,85.8,3121.0,883.0,105.0,113.0,92.9,78.0,84.0,92.9,12.0,22.0,54.5,6.0,14.0,4.0,1.0,19.0,225.0,13.0,5.0,0.0,1.0,7.0,7.0,0.0,4.0,0.0,1.0,1.0,5.0,10.0,2.05,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,5.0,8.0,1.0,6.0,11.0,54.5,5.0,4.0,1.0,3.0,6.0,3.0,0.0,292.0,12.0,68.0,171.0,56.0,8.0,292.0,1.0,4.0,25.0,143.0,2.0,2.0,2.0,196.0,9.0,5.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,27.0,5.0,4.0,55.6
Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,17.0,6.0,668.0,2.0,0.0,0.0,0.0,5.0,1.0,0.27,0.0,0.27,0.27,0.27,1.5,1.5,0.2,0.2,7.4,7.0,0.0,41.2,0.94,0.12,0.29,0.09,0.5,0.5,114.0,152.0,75.0,1530.0,229.0,67.0,81.0,82.7,34.0,45.0,75.6,6.0,7.0,85.7,6.0,4.0,4.0,1.0,7.0,145.0,7.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,23.0,3.1,14.0,0.0,2.0,2.0,5.0,2.0,0.27,1.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,1.0,6.0,3.0,4.0,7.0,57.1,3.0,4.0,0.0,4.0,3.0,0.0,0.0,278.0,0.0,17.0,91.0,175.0,39.0,278.0,5.0,20.0,25.0,193.0,19.0,16.0,9.0,212.0,42.0,21.0,1.0,15.0,24.0,4.0,0.0,0.0,0.0,31.0,11.0,15.0,42.3
Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,23.0,12.0,1237.0,3.0,1.0,0.0,0.0,2.0,1.0,0.22,0.07,0.29,0.22,0.29,2.0,2.0,0.15,0.15,13.7,11.0,0.0,52.4,0.8,0.14,0.27,0.1,1.0,1.0,280.0,389.0,72.0,3788.0,1163.0,165.0,211.0,78.2,90.0,108.0,83.3,7.0,20.0,35.0,10.0,33.0,11.0,1.0,46.0,375.0,11.0,1.0,0.0,1.0,22.0,4.0,3.0,1.0,0.0,4.0,3.0,22.0,39.0,2.84,21.0,0.0,6.0,4.0,4.0,3.0,0.22,1.0,0.0,0.0,0.0,0.0,2.0,44.0,26.0,13.0,26.0,5.0,7.0,20.0,35.0,13.0,22.0,0.0,22.0,8.0,6.0,0.0,583.0,10.0,72.0,266.0,262.0,32.0,583.0,28.0,51.0,54.9,323.0,41.0,35.0,15.0,374.0,40.0,37.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,67.0,15.0,14.0,51.7
Ola Aina,ng NGA,DF,Torino,24,1996,21.0,17.0,1437.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.02,16.0,4.0,0.0,40.0,0.25,0.0,0.0,0.04,-0.4,-0.4,535.0,755.0,70.9,8693.0,3540.0,272.0,316.0,86.1,202.0,280.0,72.1,44.0,93.0,47.3,16.0,43.0,20.0,4.0,68.0,600.0,151.0,9.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,142.0,4.0,30.0,37.0,2.32,29.0,2.0,3.0,0.0,3.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,11.0,10.0,6.0,15.0,23.0,65.2,8.0,17.0,3.0,14.0,28.0,30.0,0.0,950.0,48.0,227.0,441.0,294.0,27.0,950.0,18.0,40.0,45.0,483.0,42.0,34.0,7.0,530.0,32.0,10.0,0.0,18.0,28.0,1.0,0.0,0.0,0.0,101.0,17.0,25.0,40.5
Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,4.0,0.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,184.0,58.0,7.0,8.0,87.5,1.0,2.0,50.0,2.0,2.0,100.0,0.0,2.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.0,12.0,9.0,0.0,24.0,0.0,2.0,0.0,18.0,3.0,2.0,0.0,18.0,3.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,10.0,4.0,315.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.06,0.06,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.2,-0.2,89.0,106.0,84.0,1077.0,154.0,61.0,68.0,89.7,24.0,25.0,96.0,1.0,1.0,100.0,2.0,6.0,1.0,0.0,3.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.86,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,7.0,9.0,1.0,7.0,12.0,58.3,5.0,4.0,2.0,2.0,2.0,6.0,0.0,166.0,10.0,45.0,88.0,37.0,1.0,166.0,6.0,10.0,60.0,89.0,5.0,4.0,0.0,107.0,13.0,4.0,0.0,13.0,8.0,0.0,0.0,1.0,0.0,13.0,4.0,4.0,50.0
Luis Alberto,es ESP,MF,Lazio,28,1992,34.0,27.0,2353.0,5.0,9.0,0.0,0.0,5.0,0.0,0.19,0.34,0.54,0.19,0.54,4.1,4.1,0.16,0.16,26.1,16.0,2.0,34.0,0.61,0.11,0.31,0.09,0.9,0.9,1626.0,1970.0,82.5,25002.0,8252.0,896.0,986.0,90.9,553.0,631.0,87.6,115.0,235.0,48.9,65.0,235.0,44.0,5.0,223.0,1751.0,211.0,82.0,18.0,9.0,143.0,104.0,47.0,40.0,0.0,12.0,8.0,29.0,120.0,4.59,83.0,26.0,3.0,3.0,5.0,16.0,0.61,6.0,7.0,1.0,2.0,0.0,0.0,29.0,17.0,8.0,11.0,10.0,8.0,52.0,15.4,44.0,32.0,4.0,28.0,13.0,7.0,0.0,2177.0,16.0,259.0,1216.0,728.0,30.0,2177.0,27.0,44.0,61.4,1343.0,84.0,88.0,7.0,1682.0,29.0,23.0,0.0,13.0,26.0,1.0,0.0,0.0,0.0,136.0,6.0,12.0,33.3
Giorgio Altare,it ITA,DF,Cagliari,22,1998,19.0,17.0,1466.0,1.0,0.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.08,0.08,16.3,6.0,0.0,33.3,0.37,0.06,0.17,0.08,-0.3,-0.3,531.0,799.0,66.5,10947.0,4885.0,175.0,221.0,79.2,250.0,330.0,75.8,100.0,208.0,48.1,8.0,50.0,6.0,3.0,71.0,712.0,83.0,12.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,71.0,4.0,11.0,27.0,1.66,16.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,28.0,18.0,18.0,3.0,21.0,26.0,80.8,5.0,17.0,5.0,12.0,30.0,70.0,0.0,1000.0,96.0,426.0,456.0,129.0,25.0,1000.0,8.0,10.0,80.0,461.0,13.0,15.0,0.0,479.0,6.0,3.0,0.0,35.0,10.0,1.0,0.0,1.0,0.0,126.0,46.0,34.0,57.5
Wisdom Amey,it ITA,DF,Bologna,15,2005,1.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,419.0,59.0,8.0,9.0,88.9,7.0,10.0,70.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,1.0,25.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,3.0,1.0,0.0,41.0,1.0,17.0,23.0,2.0,0.0,41.0,0.0,1.0,0.0,19.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0
Kelvin Amian,fr FRA,DF,Spezia,23,1998,32.0,31.0,2646.0,1.0,1.0,0.0,0.0,9.0,2.0,0.03,0.03,0.07,0.03,0.07,3.2,3.2,0.11,0.11,29.4,7.0,0.0,26.9,0.24,0.04,0.14,0.12,-2.2,-2.2,887.0,1133.0,78.3,13080.0,5926.0,525.0,593.0,88.5,286.0,367.0,77.9,53.0,97.0,54.6,12.0,53.0,7.0,2.0,64.0,862.0,267.0,18.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,249.0,4.0,35.0,33.0,1.12,22.0,3.0,3.0,3.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,66.0,42.0,43.0,18.0,5.0,30.0,41.0,73.2,11.0,39.0,21.0,18.0,32.0,75.0,0.0,1446.0,122.0,592.0,577.0,294.0,34.0,1446.0,23.0,37.0,62.2,670.0,38.0,25.0,5.0,739.0,27.0,20.0,1.0,36.0,14.0,1.0,0.0,0.0,0.0,105.0,41.0,29.0,58.6
Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,13.0,9.0,683.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,1.0,1.0,0.14,0.14,7.6,6.0,1.0,37.5,0.79,0.0,0.0,0.07,-1.0,-1.0,222.0,299.0,74.2,3236.0,970.0,122.0,144.0,84.7,74.0,93.0,79.6,10.0,33.0,30.3,20.0,16.0,9.0,1.0,33.0,255.0,41.0,13.0,2.0,0.0,20.0,12.0,2.0,7.0,0.0,2.0,3.0,3.0,30.0,3.96,24.0,4.0,1.0,0.0,1.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,2.0,2.0,9.0,22.2,7.0,7.0,0.0,7.0,0.0,0.0,0.0,402.0,1.0,34.0,197.0,177.0,16.0,402.0,12.0,29.0,41.4,238.0,17.0,27.0,2.0,277.0,33.0,13.0,0.0,7.0,19.0,1.0,0.0,0.0,0.0,40.0,3.0,7.0,30.0
Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,29.0,26.0,2282.0,0.0,3.0,0.0,0.0,13.0,2.0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,0.01,0.01,25.4,1.0,0.0,14.3,0.04,0.0,0.0,0.05,-0.3,-0.3,867.0,1165.0,74.4,15853.0,6627.0,385.0,445.0,86.5,359.0,443.0,81.0,103.0,209.0,49.3,15.0,96.0,12.0,7.0,112.0,1037.0,123.0,41.0,4.0,10.0,20.0,0.0,0.0,0.0,0.0,80.0,5.0,26.0,45.0,1.77,39.0,4.0,1.0,0.0,0.0,6.0,0.24,5.0,1.0,0.0,0.0,0.0,0.0,67.0,43.0,37.0,27.0,3.0,24.0,58.0,41.4,34.0,49.0,19.0,30.0,51.0,76.0,0.0,1472.0,125.0,587.0,706.0,194.0,12.0,1472.0,13.0,17.0,76.5,712.0,26.0,23.0,3.0,767.0,19.0,10.0,1.0,46.0,27.0,0.0,0.0,0.0,0.0,157.0,66.0,33.0,66.7
Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,23.0,8.0,944.0,1.0,0.0,0.0,0.0,6.0,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.02,0.02,10.5,3.0,0.0,75.0,0.29,0.25,0.33,0.04,0.8,0.8,645.0,716.0,90.1,12507.0,3260.0,238.0,264.0,90.2,321.0,336.0,95.5,78.0,95.0,82.1,8.0,74.0,9.0,1.0,63.0,685.0,31.0,31.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,1.72,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,9.0,13.0,2.0,11.0,19.0,57.9,8.0,25.0,8.0,17.0,5.0,6.0,1.0,799.0,28.0,176.0,530.0,101.0,0.0,799.0,10.0,12.0,83.3,506.0,13.0,9.0,0.0,572.0,9.0,6.0,0.0,25.0,14.0,0.0,0.0,0.0,0.0,67.0,6.0,13.0,31.6
Felipe Anderson,br BRA,FW,Lazio,28,1993,38.0,33.0,2888.0,6.0,8.0,0.0,0.0,2.0,0.0,0.19,0.25,0.44,0.19,0.44,7.1,7.1,0.22,0.22,32.1,16.0,0.0,36.4,0.5,0.14,0.38,0.16,-1.1,-1.1,1118.0,1436.0,77.9,16074.0,3918.0,652.0,765.0,85.2,341.0,420.0,81.2,60.0,106.0,56.6,50.0,60.0,61.0,13.0,123.0,1342.0,90.0,6.0,5.0,6.0,86.0,13.0,8.0,3.0,0.0,32.0,4.0,36.0,115.0,3.59,87.0,3.0,10.0,5.0,9.0,19.0,0.59,13.0,0.0,4.0,2.0,0.0,0.0,71.0,45.0,30.0,33.0,8.0,27.0,99.0,27.3,72.0,65.0,6.0,59.0,20.0,16.0,0.0,1869.0,31.0,204.0,846.0,850.0,130.0,1869.0,58.0,108.0,53.7,1091.0,142.0,101.0,48.0,1335.0,88.0,38.0,0.0,43.0,37.0,7.0,0.0,0.0,0.0,150.0,11.0,20.0,35.5
Ebenezer Annan,gh GHA,DF,Bologna,18,2002,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,36.4,51.0,17.0,3.0,4.0,75.0,1.0,5.0,20.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,4.0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Cristian Ansaldi,ar ARG,DF,Torino,34,1986,19.0,5.0,691.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.39,0.39,0.0,0.39,0.4,0.4,0.05,0.05,7.7,1.0,0.0,14.3,0.13,0.0,0.0,0.06,-0.4,-0.4,285.0,407.0,70.0,5390.0,2749.0,121.0,140.0,86.4,107.0,143.0,74.8,46.0,100.0,46.0,17.0,40.0,16.0,12.0,41.0,318.0,86.0,8.0,2.0,4.0,57.0,10.0,4.0,2.0,0.0,68.0,3.0,4.0,29.0,3.79,22.0,3.0,2.0,2.0,0.0,6.0,0.78,5.0,0.0,0.0,1.0,0.0,0.0,20.0,9.0,11.0,7.0,2.0,10.0,13.0,76.9,3.0,9.0,1.0,8.0,6.0,10.0,0.0,500.0,22.0,106.0,206.0,190.0,14.0,500.0,8.0,16.0,50.0,288.0,24.0,10.0,7.0,293.0,16.0,4.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,36.0,3.0,3.0,50.0
Janis Antiste,fr FRA,FW,Spezia,18,2002,18.0,9.0,796.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1.3,1.3,0.14,0.14,8.8,2.0,0.0,18.2,0.23,0.09,0.5,0.12,-0.3,-0.3,136.0,215.0,63.3,1856.0,397.0,79.0,112.0,70.5,40.0,64.0,62.5,6.0,11.0,54.5,6.0,6.0,6.0,3.0,7.0,195.0,19.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,14.0,1.58,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,6.0,6.0,6.0,5.0,13.0,38.5,8.0,7.0,1.0,6.0,4.0,6.0,0.0,312.0,6.0,63.0,119.0,135.0,39.0,312.0,8.0,21.0,38.1,156.0,10.0,6.0,8.0,192.0,24.0,7.0,0.0,15.0,6.0,5.0,0.0,0.0,0.0,36.0,16.0,19.0,45.7
Mattia Aramu,it ITA,"MF,FW",Venezia,26,1995,32.0,25.0,2100.0,7.0,5.0,3.0,4.0,6.0,0.0,0.3,0.21,0.51,0.17,0.39,7.2,4.1,0.31,0.17,23.3,15.0,17.0,27.3,0.64,0.07,0.27,0.07,-0.2,-0.1,524.0,795.0,65.9,8928.0,2978.0,255.0,303.0,84.2,190.0,267.0,71.2,57.0,151.0,37.7,35.0,39.0,28.0,13.0,79.0,603.0,184.0,43.0,6.0,6.0,144.0,66.0,33.0,28.0,0.0,21.0,8.0,24.0,75.0,3.21,31.0,22.0,2.0,5.0,15.0,11.0,0.47,7.0,1.0,0.0,0.0,3.0,0.0,20.0,15.0,5.0,9.0,6.0,8.0,33.0,24.2,25.0,20.0,2.0,18.0,8.0,19.0,0.0,1042.0,22.0,103.0,438.0,514.0,36.0,1038.0,17.0,38.0,44.7,580.0,39.0,22.0,5.0,650.0,43.0,24.0,0.0,29.0,81.0,7.0,1.0,1.0,0.0,91.0,11.0,27.0,28.9
Marko Arnautović,at AUT,FW,Bologna,32,1989,33.0,32.0,2694.0,14.0,1.0,2.0,3.0,6.0,0.0,0.47,0.03,0.5,0.4,0.43,15.0,12.8,0.5,0.43,29.9,32.0,3.0,36.0,1.07,0.13,0.38,0.14,-1.0,-0.8,659.0,908.0,72.6,8749.0,1621.0,400.0,514.0,77.8,189.0,246.0,76.8,23.0,37.0,62.2,44.0,30.0,19.0,0.0,68.0,851.0,51.0,1.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,9.0,6.0,24.0,89.0,2.97,71.0,0.0,7.0,9.0,2.0,7.0,0.23,5.0,0.0,1.0,1.0,0.0,0.0,17.0,9.0,1.0,11.0,5.0,7.0,30.0,23.3,23.0,13.0,2.0,11.0,7.0,17.0,0.0,1203.0,19.0,72.0,525.0,618.0,154.0,1200.0,37.0,59.0,62.7,639.0,34.0,21.0,16.0,941.0,81.0,36.0,0.0,45.0,21.0,14.0,0.0,0.0,0.0,77.0,25.0,41.0,37.9
Tolgay Arslan,de GER,MF,Udinese,30,1990,30.0,22.0,1658.0,1.0,0.0,0.0,0.0,9.0,0.0,0.05,0.0,0.05,0.05,0.05,1.7,1.7,0.09,0.09,18.4,9.0,1.0,39.1,0.49,0.04,0.11,0.07,-0.7,-0.7,532.0,677.0,78.6,8981.0,2491.0,221.0,267.0,82.8,242.0,290.0,83.4,43.0,69.0,62.3,15.0,79.0,9.0,2.0,86.0,649.0,28.0,19.0,2.0,2.0,33.0,7.0,2.0,5.0,0.0,1.0,0.0,13.0,48.0,2.6,30.0,5.0,1.0,4.0,7.0,8.0,0.43,3.0,0.0,0.0,2.0,3.0,0.0,35.0,20.0,15.0,16.0,4.0,19.0,50.0,38.0,31.0,17.0,4.0,13.0,13.0,23.0,1.0,866.0,34.0,166.0,499.0,216.0,19.0,866.0,22.0,34.0,64.7,463.0,35.0,29.0,4.0,518.0,27.0,15.0,0.0,28.0,36.0,0.0,1.0,0.0,0.0,140.0,6.0,8.0,42.9
Arthur,br BRA,FW,Fiorentina,23,1998,14.0,8.0,749.0,2.0,2.0,0.0,0.0,1.0,0.0,0.24,0.24,0.48,0.24,0.48,4.3,4.3,0.52,0.52,8.3,8.0,0.0,34.8,0.96,0.09,0.25,0.19,-2.3,-2.3,110.0,142.0,77.5,1728.0,248.0,59.0,71.0,83.1,36.0,46.0,78.3,8.0,11.0,72.7,7.0,7.0,2.0,0.0,10.0,126.0,16.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,2.05,10.0,0.0,3.0,1.0,2.0,5.0,0.6,3.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,2.0,5.0,2.0,4.0,7.0,57.1,3.0,4.0,1.0,3.0,1.0,8.0,0.0,231.0,10.0,30.0,116.0,90.0,42.0,231.0,9.0,14.0,64.3,117.0,8.0,6.0,4.0,163.0,17.0,8.0,0.0,16.0,10.0,1.0,0.0,0.0,0.0,15.0,12.0,26.0,31.6
Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,19.0,7.0,754.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.06,0.06,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.5,-0.5,147.0,226.0,65.0,2158.0,804.0,83.0,107.0,77.6,43.0,64.0,67.2,10.0,26.0,38.5,2.0,20.0,1.0,0.0,17.0,215.0,8.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,0.84,5.0,0.0,2.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,7.0,11.0,0.0,9.0,19.0,47.4,10.0,14.0,7.0,7.0,15.0,15.0,0.0,323.0,36.0,101.0,160.0,66.0,8.0,323.0,4.0,5.0,80.0,138.0,5.0,4.0,1.0,157.0,9.0,5.0,0.0,17.0,14.0,0.0,0.0,0.0,1.0,43.0,21.0,10.0,67.7
Kristjan Asllani,al ALB,MF,Empoli,19,2002,23.0,14.0,1353.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.07,0.13,0.07,0.13,0.7,0.7,0.05,0.05,15.0,6.0,2.0,35.3,0.4,0.06,0.17,0.04,0.3,0.3,638.0,779.0,81.9,12159.0,3636.0,251.0,279.0,90.0,290.0,319.0,90.9,85.0,158.0,53.8,7.0,65.0,4.0,0.0,62.0,718.0,60.0,36.0,1.0,6.0,29.0,19.0,9.0,7.0,0.0,4.0,1.0,7.0,30.0,2.0,22.0,3.0,0.0,3.0,2.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,9.0,8.0,1.0,11.0,29.0,37.9,18.0,16.0,7.0,9.0,19.0,15.0,1.0,897.0,48.0,274.0,498.0,130.0,5.0,897.0,7.0,10.0,70.0,573.0,10.0,11.0,2.0,596.0,18.0,7.0,0.0,13.0,23.0,0.0,0.0,0.0,0.0,122.0,4.0,6.0,40.0
Emil Audero,it ITA,GK,Sampdoria,24,1997,29.0,29.0,2560.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,1005.0,70.2,22466.0,16952.0,105.0,105.0,100.0,288.0,297.0,97.0,311.0,593.0,52.4,2.0,20.0,1.0,0.0,0.0,698.0,300.0,88.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.18,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,5.0,60.0,2.0,0.0,0.0,0.0,2.0,17.0,2.0,1076.0,953.0,1074.0,2.0,0.0,0.0,1076.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,31.0,7.0,0.0,100.0
