player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ibrahima Mbaye,sn SEN,DF,Bologna,26,1994,6.0,1.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,52.0,65.4,381.0,230.0,27.0,33.0,81.8,6.0,15.0,40.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,42.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,63.0,11.0,23.0,28.0,12.0,0.0,63.0,2.0,2.0,100.0,24.0,0.0,1.0,0.0,35.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,4.0,42.9
Weston McKennie,us USA,MF,Juventus,22,1998,21.0,15.0,1369.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,2.3,2.3,0.15,0.15,15.2,5.0,0.0,21.7,0.33,0.13,0.6,0.1,0.7,0.7,424.0,565.0,75.0,6664.0,1916.0,231.0,281.0,82.2,139.0,182.0,76.4,37.0,53.0,69.8,20.0,39.0,11.0,2.0,51.0,529.0,34.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,32.0,2.0,20.0,39.0,2.56,32.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,11.0,7.0,2.0,8.0,26.0,30.8,18.0,17.0,8.0,9.0,23.0,20.0,0.0,737.0,28.0,151.0,356.0,241.0,50.0,737.0,20.0,26.0,76.9,362.0,30.0,15.0,10.0,470.0,22.0,19.0,0.0,19.0,4.0,0.0,0.0,0.0,0.0,84.0,29.0,24.0,54.7
Gary Medel,cl CHI,DF,Bologna,33,1987,33.0,32.0,2823.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.03,0.03,0.0,0.03,0.2,0.2,0.01,0.01,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.2,-0.2,1508.0,1696.0,88.9,30848.0,12958.0,492.0,520.0,94.6,756.0,802.0,94.3,245.0,335.0,73.1,3.0,73.0,6.0,0.0,73.0,1559.0,131.0,121.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,10.0,17.0,0.54,14.0,2.0,1.0,0.0,0.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,39.0,23.0,27.0,11.0,1.0,16.0,36.0,44.4,20.0,30.0,21.0,9.0,44.0,112.0,0.0,1943.0,379.0,1111.0,819.0,29.0,2.0,1943.0,10.0,13.0,76.9,1108.0,12.0,5.0,2.0,1195.0,8.0,2.0,1.0,34.0,31.0,1.0,0.0,2.0,0.0,228.0,15.0,33.0,31.3
Filippo Melegoni,it ITA,"MF,FW",Genoa,22,1999,25.0,10.0,980.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09,0.0,0.09,0.09,0.09,0.9,0.9,0.08,0.08,10.9,7.0,1.0,53.8,0.64,0.08,0.14,0.07,0.1,0.1,234.0,347.0,67.4,3325.0,1086.0,133.0,168.0,79.2,73.0,104.0,70.2,14.0,37.0,37.8,15.0,14.0,11.0,3.0,27.0,323.0,22.0,6.0,3.0,0.0,34.0,12.0,5.0,5.0,0.0,3.0,2.0,19.0,30.0,2.76,21.0,4.0,3.0,0.0,1.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,5.0,8.0,7.0,8.0,16.0,50.0,8.0,10.0,1.0,9.0,11.0,8.0,1.0,492.0,12.0,75.0,195.0,229.0,26.0,492.0,8.0,16.0,50.0,279.0,28.0,23.0,4.0,296.0,40.0,12.0,0.0,15.0,20.0,2.0,0.0,0.0,0.0,72.0,5.0,20.0,20.0
Arthur Melo,br BRA,MF,Juventus,24,1996,20.0,11.0,962.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.02,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.13,-0.3,-0.3,626.0,700.0,89.4,11432.0,3015.0,247.0,272.0,90.8,291.0,308.0,94.5,71.0,81.0,87.7,6.0,64.0,5.0,0.0,58.0,666.0,33.0,32.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,18.0,1.69,15.0,0.0,2.0,0.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,25.0,12.0,10.0,14.0,1.0,13.0,24.0,54.2,11.0,11.0,2.0,9.0,7.0,8.0,1.0,784.0,28.0,199.0,487.0,108.0,7.0,784.0,10.0,11.0,90.9,469.0,13.0,12.0,0.0,566.0,8.0,3.0,0.0,20.0,31.0,0.0,0.0,0.0,0.0,92.0,4.0,6.0,40.0
Alex Meret,it ITA,GK,Napoli,24,1997,7.0,7.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,197.0,89.3,4020.0,2763.0,51.0,51.0,100.0,75.0,76.0,98.7,49.0,67.0,73.1,0.0,0.0,0.0,0.0,0.0,149.0,47.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,206.0,183.0,205.0,1.0,0.0,0.0,206.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Yıldırım Mert Çetin,tr TUR,MF,Hellas Verona,24,1997,2.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,33.0,69.7,390.0,188.0,11.0,15.0,73.3,9.0,12.0,75.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,44.0,3.0,12.0,17.0,15.0,0.0,44.0,1.0,2.0,50.0,16.0,0.0,2.0,0.0,21.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,50.0
Dries Mertens,be BEL,"FW,MF",Napoli,34,1987,30.0,16.0,1384.0,11.0,1.0,1.0,1.0,2.0,0.0,0.72,0.07,0.78,0.65,0.72,5.0,4.2,0.33,0.27,15.4,19.0,4.0,43.2,1.24,0.23,0.53,0.1,6.0,5.8,400.0,548.0,73.0,5833.0,1575.0,247.0,292.0,84.6,102.0,140.0,72.9,30.0,56.0,53.6,33.0,33.0,18.0,1.0,69.0,523.0,21.0,0.0,6.0,9.0,22.0,12.0,3.0,5.0,0.0,2.0,4.0,14.0,69.0,4.48,52.0,3.0,4.0,5.0,4.0,11.0,0.71,6.0,0.0,1.0,2.0,1.0,1.0,16.0,7.0,1.0,11.0,4.0,3.0,16.0,18.8,13.0,8.0,2.0,6.0,9.0,2.0,0.0,682.0,4.0,50.0,299.0,337.0,90.0,681.0,17.0,29.0,58.6,391.0,30.0,16.0,21.0,546.0,23.0,9.0,0.0,26.0,22.0,5.0,2.0,0.0,0.0,51.0,3.0,8.0,27.3
Junior Messias,br BRA,"FW,MF",Milan,30,1991,26.0,14.0,1428.0,5.0,2.0,0.0,0.0,2.0,0.0,0.32,0.13,0.44,0.32,0.44,3.7,3.7,0.23,0.23,15.9,17.0,0.0,38.6,1.07,0.11,0.29,0.09,1.3,1.3,364.0,544.0,66.9,5269.0,1431.0,217.0,276.0,78.6,113.0,177.0,63.8,20.0,53.0,37.7,21.0,27.0,22.0,4.0,45.0,507.0,35.0,7.0,1.0,4.0,52.0,19.0,15.0,1.0,0.0,9.0,2.0,14.0,53.0,3.35,33.0,2.0,5.0,8.0,4.0,3.0,0.19,2.0,0.0,0.0,1.0,0.0,0.0,34.0,18.0,11.0,14.0,9.0,15.0,34.0,44.1,19.0,11.0,1.0,10.0,17.0,17.0,0.0,795.0,25.0,97.0,292.0,428.0,69.0,795.0,30.0,63.0,47.6,462.0,63.0,47.0,19.0,501.0,46.0,17.0,0.0,21.0,24.0,3.0,0.0,1.0,0.0,88.0,28.0,33.0,45.9
Kingsley Michael,ng NGA,MF,Bologna,21,1999,2.0,1.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.8,1.0,0.0,100.0,1.18,0.0,0.0,0.02,0.0,0.0,23.0,26.0,88.5,371.0,77.0,12.0,13.0,92.3,9.0,10.0,90.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,39.0,4.0,17.0,20.0,3.0,0.0,39.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
