player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,28.0,2520.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1.7,1.7,0.06,0.06,28.0,5.0,0.0,26.3,0.18,0.16,0.6,0.09,1.3,1.3,1323.0,1570.0,84.3,27406.0,10308.0,370.0,420.0,88.1,762.0,854.0,89.2,185.0,269.0,68.8,5.0,53.0,1.0,0.0,96.0,1491.0,75.0,72.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,23.0,0.82,16.0,0.0,4.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,46.0,33.0,29.0,15.0,2.0,26.0,14.0,12.0,47.0,99.0,1.0,1854.0,194.0,1052.0,768.0,51.0,29.0,1854.0,1031.0,21.0,12.0,0.0,1216.0,15.0,5.0,0.0,21.0,17.0,0.0,0.0,1.0,0.0,140.0,85.0,51.0,62.5
Mehdi Abeid,dz ALG,MF,Nantes,26,1992,25.0,20.0,1817.0,1.0,2.0,0.0,0.0,5.0,0.0,0.05,0.1,0.15,0.05,0.15,1.5,1.5,0.07,0.07,20.2,7.0,3.0,21.2,0.35,0.03,0.14,0.04,-0.5,-0.5,792.0,967.0,81.9,12997.0,3634.0,392.0,426.0,92.0,313.0,354.0,88.4,59.0,128.0,46.1,27.0,80.0,6.0,2.0,104.0,870.0,93.0,38.0,1.0,10.0,63.0,50.0,24.0,15.0,1.0,5.0,4.0,15.0,53.0,2.63,30.0,16.0,3.0,1.0,4.0,0.2,2.0,1.0,1.0,0.0,0.0,55.0,29.0,18.0,32.0,5.0,16.0,3.0,13.0,23.0,8.0,1.0,1159.0,14.0,163.0,766.0,249.0,17.0,1159.0,650.0,25.0,24.0,3.0,754.0,24.0,21.0,0.0,55.0,43.0,1.0,0.0,1.0,0.0,153.0,13.0,17.0,43.3
Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,15.0,6.0,623.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.05,0.05,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.3,-0.3,75.0,132.0,56.8,932.0,234.0,46.0,75.0,61.3,16.0,29.0,55.2,4.0,6.0,66.7,7.0,3.0,4.0,1.0,10.0,121.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,2.6,11.0,0.0,1.0,4.0,2.0,0.29,1.0,0.0,0.0,1.0,0.0,9.0,9.0,2.0,5.0,2.0,2.0,0.0,2.0,4.0,4.0,0.0,195.0,7.0,14.0,100.0,86.0,20.0,195.0,108.0,12.0,4.0,5.0,144.0,26.0,7.0,0.0,16.0,11.0,7.0,1.0,0.0,0.0,22.0,28.0,34.0,45.2
Amine Adli,fr FRA,"MF,FW",Toulouse,19,2000,4.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,76.9,297.0,105.0,11.0,12.0,91.7,6.0,7.0,85.7,2.0,6.0,33.3,2.0,3.0,1.0,0.0,3.0,22.0,4.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.87,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,3.0,16.0,13.0,1.0,31.0,23.0,4.0,1.0,0.0,22.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Yacine Adli,fr FRA,MF,Bordeaux,19,2000,21.0,11.0,1020.0,3.0,3.0,0.0,0.0,3.0,0.0,0.26,0.26,0.53,0.26,0.53,0.8,0.8,0.07,0.07,11.3,6.0,1.0,35.3,0.53,0.18,0.5,0.04,2.2,2.2,448.0,571.0,78.5,7437.0,1845.0,225.0,256.0,87.9,165.0,202.0,81.7,44.0,76.0,57.9,19.0,51.0,5.0,0.0,65.0,530.0,38.0,17.0,6.0,2.0,39.0,19.0,12.0,6.0,0.0,2.0,3.0,8.0,45.0,3.97,29.0,5.0,2.0,2.0,7.0,0.62,3.0,1.0,1.0,0.0,0.0,22.0,14.0,4.0,15.0,3.0,10.0,0.0,10.0,8.0,3.0,0.0,704.0,10.0,70.0,457.0,186.0,11.0,704.0,485.0,38.0,31.0,3.0,537.0,27.0,24.0,0.0,13.0,18.0,0.0,0.0,0.0,0.0,57.0,10.0,13.0,43.5
Nayef Aguerd,ma MAR,DF,Dijon,23,1996,11.0,11.0,957.0,1.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,0.3,0.3,0.03,0.03,10.6,1.0,1.0,25.0,0.09,0.25,1.0,0.08,0.7,0.7,492.0,597.0,82.4,10780.0,4411.0,160.0,171.0,93.6,239.0,269.0,88.8,90.0,143.0,62.9,0.0,23.0,0.0,0.0,27.0,578.0,17.0,13.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,0.38,3.0,1.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,13.0,9.0,7.0,5.0,1.0,11.0,11.0,0.0,18.0,54.0,0.0,717.0,75.0,426.0,284.0,11.0,8.0,717.0,352.0,0.0,0.0,0.0,467.0,4.0,3.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,55.0,43.0,13.0,76.8
Ruben Aguilar,fr FRA,DF,Monaco,26,1993,19.0,11.0,1072.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.17,0.17,0.0,0.17,0.2,0.2,0.02,0.02,11.9,2.0,0.0,33.3,0.17,0.0,0.0,0.04,-0.2,-0.2,662.0,787.0,84.1,9674.0,3464.0,399.0,422.0,94.5,212.0,251.0,84.5,31.0,69.0,44.9,18.0,40.0,28.0,15.0,52.0,665.0,122.0,13.0,1.0,3.0,63.0,0.0,0.0,0.0,0.0,109.0,0.0,14.0,36.0,3.02,31.0,2.0,0.0,2.0,4.0,0.34,4.0,0.0,0.0,0.0,0.0,36.0,22.0,19.0,15.0,2.0,6.0,2.0,4.0,11.0,21.0,0.0,913.0,32.0,209.0,441.0,268.0,21.0,913.0,534.0,32.0,19.0,4.0,581.0,9.0,11.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,72.0,16.0,13.0,55.2
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,11.0,8.0,630.0,1.0,1.0,0.0,0.0,3.0,1.0,0.14,0.14,0.29,0.14,0.29,0.7,0.7,0.1,0.1,7.0,4.0,0.0,40.0,0.57,0.1,0.25,0.07,0.3,0.3,260.0,310.0,83.9,4185.0,848.0,122.0,142.0,85.9,114.0,122.0,93.4,14.0,29.0,48.3,5.0,17.0,0.0,0.0,34.0,304.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,1.86,7.0,0.0,0.0,2.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,16.0,12.0,2.0,11.0,3.0,6.0,1.0,5.0,15.0,10.0,0.0,404.0,14.0,78.0,257.0,71.0,13.0,404.0,225.0,14.0,9.0,1.0,267.0,19.0,7.0,0.0,11.0,14.0,1.0,0.0,0.0,0.0,57.0,10.0,11.0,47.6
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,12.0,6.0,536.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,0.1,0.1,0.01,0.01,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.1,-0.1,350.0,406.0,86.2,5419.0,1636.0,190.0,206.0,92.2,130.0,143.0,90.9,19.0,32.0,59.4,4.0,36.0,3.0,0.0,47.0,400.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,10.0,1.68,10.0,0.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,4.0,1.0,6.0,1.0,5.0,4.0,10.0,1.0,465.0,11.0,71.0,354.0,43.0,0.0,465.0,305.0,6.0,4.0,0.0,338.0,7.0,4.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,43.0,5.0,5.0,50.0
Rayan Aït Nouri,dz ALG,DF,Angers,18,2001,17.0,16.0,1282.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14,0.2,0.2,0.01,0.01,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.2,-0.2,618.0,808.0,76.5,9226.0,4114.0,321.0,354.0,90.7,220.0,286.0,76.9,43.0,98.0,43.9,9.0,34.0,17.0,13.0,56.0,655.0,151.0,3.0,0.0,2.0,43.0,0.0,0.0,0.0,0.0,148.0,2.0,23.0,26.0,1.83,20.0,1.0,1.0,1.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,29.0,22.0,14.0,8.0,7.0,14.0,1.0,13.0,18.0,33.0,0.0,972.0,34.0,302.0,440.0,238.0,13.0,972.0,445.0,45.0,36.0,10.0,550.0,27.0,24.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,99.0,17.0,6.0,73.9
