player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Luka Romero,ar ARG,FW,Lazio,17,2004,6.0,1.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,0.9,0.9,0.52,0.52,1.7,1.0,0.0,20.0,0.6,0.2,1.0,0.17,0.1,0.1,70.0,80.0,87.5,800.0,152.0,56.0,60.0,93.3,10.0,12.0,83.3,1.0,2.0,50.0,2.0,2.0,0.0,0.0,4.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,2.38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,1.0,0.0,112.0,2.0,14.0,50.0,48.0,7.0,112.0,84.0,4.0,3.0,2.0,91.0,5.0,4.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
Marten de Roon,nl NED,MF,Atalanta,31,1991,35.0,34.0,2964.0,3.0,1.0,0.0,0.0,7.0,0.0,0.09,0.03,0.12,0.09,0.12,1.1,1.1,0.03,0.03,32.9,5.0,0.0,26.3,0.15,0.16,0.6,0.06,1.9,1.9,1587.0,1912.0,83.0,29393.0,8619.0,635.0,714.0,88.9,736.0,842.0,87.4,177.0,273.0,64.8,20.0,156.0,24.0,1.0,171.0,1833.0,75.0,54.0,0.0,24.0,13.0,0.0,0.0,0.0,0.0,17.0,4.0,21.0,51.0,1.55,45.0,0.0,1.0,3.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,77.0,39.0,37.0,35.0,5.0,37.0,4.0,33.0,36.0,58.0,0.0,2209.0,119.0,634.0,1232.0,354.0,21.0,2209.0,1127.0,18.0,30.0,2.0,1389.0,16.0,15.0,0.0,46.0,24.0,1.0,0.0,0.0,0.0,218.0,51.0,31.0,62.2
Francesco Rossi,it ITA,GK,Atalanta,31,1991,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,52.0,28.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolò Rovella,it ITA,MF,Monza,20,2001,25.0,21.0,1740.0,1.0,2.0,0.0,0.0,5.0,1.0,0.05,0.1,0.16,0.05,0.16,1.2,1.2,0.06,0.06,19.3,6.0,1.0,28.6,0.31,0.05,0.17,0.06,-0.2,-0.2,1206.0,1363.0,88.5,22554.0,5545.0,496.0,534.0,92.9,549.0,594.0,92.4,145.0,193.0,75.1,22.0,105.0,15.0,2.0,99.0,1292.0,68.0,52.0,1.0,24.0,28.0,10.0,2.0,7.0,0.0,6.0,3.0,15.0,53.0,2.74,41.0,5.0,1.0,2.0,7.0,0.36,5.0,1.0,0.0,0.0,1.0,45.0,29.0,22.0,21.0,2.0,20.0,1.0,19.0,40.0,17.0,0.0,1556.0,46.0,374.0,950.0,248.0,10.0,1556.0,950.0,26.0,30.0,2.0,1134.0,20.0,7.0,0.0,26.0,21.0,2.0,0.0,0.0,0.0,141.0,9.0,10.0,47.4
Nicolò Rovella,it ITA,MF,Juventus,20,2001,3.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.1,-0.1,22.0,25.0,88.0,448.0,82.0,7.0,8.0,87.5,11.0,12.0,91.7,3.0,4.0,75.0,0.0,3.0,0.0,0.0,1.0,22.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,4.0,17.0,9.0,0.0,29.0,21.0,1.0,1.0,0.0,24.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Amir Rrahmani,xk KVX,DF,Napoli,28,1994,29.0,27.0,2448.0,2.0,1.0,0.0,0.0,2.0,0.0,0.07,0.04,0.11,0.07,0.11,1.8,1.8,0.07,0.07,27.2,3.0,0.0,14.3,0.11,0.1,0.67,0.09,0.2,0.2,1977.0,2167.0,91.2,39821.0,13543.0,641.0,688.0,93.2,1039.0,1081.0,96.1,266.0,349.0,76.2,12.0,149.0,7.0,0.0,135.0,2097.0,67.0,63.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,26.0,0.96,23.0,0.0,1.0,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,33.0,18.0,20.0,13.0,0.0,36.0,20.0,16.0,14.0,79.0,1.0,2372.0,228.0,955.0,1327.0,102.0,29.0,2372.0,1573.0,23.0,23.0,1.0,1768.0,9.0,3.0,0.0,22.0,12.0,1.0,0.0,0.0,0.0,162.0,67.0,40.0,62.6
Ruan,br BRA,DF,Sassuolo,23,1999,23.0,21.0,1711.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.03,0.03,19.0,1.0,0.0,20.0,0.05,0.0,0.0,0.1,-0.5,-0.5,835.0,939.0,88.9,16214.0,4320.0,248.0,275.0,90.2,499.0,535.0,93.3,74.0,97.0,76.3,1.0,22.0,1.0,0.0,22.0,875.0,62.0,35.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,26.0,25.0,12.0,1.0,29.0,17.0,12.0,24.0,80.0,3.0,1136.0,191.0,681.0,431.0,28.0,13.0,1136.0,601.0,6.0,5.0,0.0,660.0,4.0,5.0,2.0,27.0,14.0,0.0,0.0,1.0,1.0,112.0,51.0,36.0,58.6
Daniele Rugani,it ITA,DF,Juventus,28,1994,9.0,6.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.07,0.07,6.3,1.0,0.0,25.0,0.16,0.0,0.0,0.12,-0.5,-0.5,231.0,262.0,88.2,4696.0,1347.0,64.0,70.0,91.4,150.0,159.0,94.3,17.0,33.0,51.5,0.0,7.0,0.0,0.0,5.0,255.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,1.0,0.0,7.0,5.0,2.0,7.0,32.0,0.0,325.0,61.0,204.0,112.0,9.0,4.0,325.0,187.0,2.0,0.0,0.0,213.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,11.0,9.0,55.0
Matteo Ruggeri,it ITA,"DF,MF",Atalanta,20,2002,15.0,8.0,829.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,0.6,0.6,0.06,0.06,9.2,1.0,0.0,10.0,0.11,0.0,0.0,0.06,-0.6,-0.6,515.0,631.0,81.6,8203.0,3341.0,278.0,311.0,89.4,187.0,227.0,82.4,36.0,57.0,63.2,10.0,38.0,12.0,6.0,55.0,527.0,102.0,5.0,0.0,2.0,38.0,1.0,1.0,0.0,0.0,96.0,2.0,10.0,17.0,1.85,17.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,17.0,12.0,5.0,9.0,3.0,14.0,3.0,11.0,12.0,16.0,0.0,722.0,24.0,198.0,304.0,224.0,17.0,722.0,342.0,22.0,14.0,3.0,444.0,7.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,57.0,13.0,6.0,68.4
Mário Rui,pt POR,DF,Napoli,31,1991,22.0,21.0,1749.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.31,0.31,0.0,0.31,0.6,0.6,0.03,0.03,19.4,4.0,2.0,36.4,0.21,0.0,0.0,0.06,-0.6,-0.6,1408.0,1734.0,81.2,25486.0,8770.0,685.0,748.0,91.6,520.0,625.0,83.2,180.0,290.0,62.1,46.0,146.0,54.0,17.0,153.0,1427.0,300.0,70.0,2.0,30.0,110.0,42.0,15.0,19.0,0.0,188.0,7.0,26.0,87.0,4.48,63.0,21.0,0.0,1.0,13.0,0.67,11.0,1.0,0.0,0.0,1.0,34.0,22.0,17.0,13.0,4.0,17.0,4.0,13.0,15.0,24.0,1.0,1864.0,36.0,381.0,946.0,552.0,11.0,1864.0,1101.0,52.0,56.0,2.0,1243.0,10.0,7.0,0.0,19.0,31.0,0.0,0.0,0.0,0.0,155.0,13.0,25.0,34.2
