team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Augsburg,28.0,61.4,34.0,374.0,3060.0,60.0,50.0,0.0,1.0,64.0,3.0,1.76,1.47,3.24,1.76,3.24,56.6,55.8,1.66,1.64,34.0,34.0,3058.0,45.0,1.32,134.0,87.0,68.7,16.0,9.0,9.0,8.0,23.5,5.0,3.0,2.0,0.0,34.0,4.0,2.0,0.0,45.7,0.31,0.7,0.02,208.0,476.0,43.7,1288.0,196.0,28.4,31.3,249.0,44.2,39.7,362.0,13.0,3.6,68.0,2.0,18.4,154.0,19.0,32.5,4.53,0.13,0.39,0.12,3.4,4.2,16310.0,20275.0,80.4,302574.0,105088.0,6626.0,7632.0,86.8,7229.0,8268.0,87.4,1980.0,3269.0,60.6,356.0,1243.0,279.0,76.0,1564.0,18389.0,1816.0,432.0,42.0,155.0,706.0,173.0,70.0,85.0,5.0,883.0,70.0,296.0,839.0,24.68,609.0,56.0,50.0,40.0,109.0,3.21,81.0,3.0,5.0,1.0,4.0,544.0,329.0,263.0,196.0,85.0,348.0,70.0,278.0,312.0,492.0,11.0,23863.0,2091.0,7392.0,11370.0,5300.0,768.0,23862.0,13906.0,643.0,449.0,163.0,16187.0,525.0,314.0,1.0,405.0,353.0,70.0,1.0,5.0,0.0,1756.0,612.0,545.0,52.9
vs Bayern Munich,29.0,34.9,34.0,374.0,3060.0,31.0,23.0,3.0,4.0,57.0,3.0,0.91,0.68,1.59,0.82,1.5,37.9,34.8,1.11,1.02,34.0,34.0,3060.0,100.0,2.94,249.0,152.0,62.2,4.0,4.0,26.0,1.0,2.9,6.0,6.0,0.0,0.0,34.0,2.0,7.0,3.0,90.3,0.34,-6.7,-0.2,262.0,687.0,38.1,1081.0,207.0,44.0,37.0,398.0,53.0,41.7,647.0,20.0,3.1,32.0,0.94,12.0,109.0,12.0,34.9,3.21,0.09,0.26,0.12,-6.9,-6.8,9582.0,13091.0,73.2,177045.0,76683.0,4287.0,5062.0,84.7,3692.0,4569.0,80.8,1288.0,2567.0,50.2,231.0,629.0,166.0,54.0,840.0,11395.0,1605.0,375.0,27.0,112.0,426.0,102.0,38.0,51.0,1.0,598.0,91.0,255.0,532.0,15.65,376.0,46.0,34.0,27.0,57.0,1.68,35.0,6.0,5.0,3.0,1.0,570.0,351.0,322.0,193.0,55.0,424.0,126.0,298.0,468.0,867.0,14.0,17140.0,3065.0,7773.0,6685.0,2886.0,459.0,17136.0,8781.0,433.0,323.0,116.0,9513.0,508.0,289.0,1.0,377.0,309.0,91.0,3.0,6.0,3.0,1775.0,403.0,478.0,45.7
vs Dortmund,27.0,39.6,34.0,374.0,3060.0,38.0,27.0,3.0,3.0,53.0,1.0,1.12,0.79,1.91,1.03,1.82,40.9,38.6,1.2,1.14,34.0,34.0,3060.0,84.0,2.47,190.0,106.0,56.8,7.0,6.0,21.0,5.0,14.7,2.0,2.0,0.0,0.0,34.0,0.0,8.0,0.0,76.4,0.4,-7.6,-0.22,180.0,471.0,38.2,956.0,136.0,38.3,34.9,233.0,45.1,40.5,391.0,9.0,2.3,38.0,1.12,16.0,99.0,13.0,28.4,2.91,0.1,0.35,0.11,-2.9,-3.6,12236.0,15653.0,78.2,219973.0,79043.0,5249.0,5987.0,87.7,5213.0,6143.0,84.9,1370.0,2472.0,55.4,262.0,843.0,189.0,54.0,1101.0,14107.0,1460.0,343.0,37.0,111.0,454.0,102.0,42.0,49.0,3.0,664.0,86.0,308.0,582.0,17.12,423.0,47.0,35.0,29.0,57.0,1.68,39.0,1.0,11.0,2.0,1.0,633.0,381.0,312.0,240.0,81.0,405.0,94.0,311.0,449.0,569.0,12.0,19419.0,2113.0,6651.0,9142.0,3834.0,533.0,19416.0,11005.0,584.0,419.0,136.0,12163.0,508.0,303.0,0.0,342.0,290.0,86.0,2.0,2.0,0.0,1925.0,358.0,361.0,49.8
vs Düsseldorf,28.0,54.4,34.0,374.0,3060.0,63.0,53.0,3.0,5.0,64.0,5.0,1.85,1.56,3.41,1.76,3.32,60.7,57.5,1.79,1.69,34.0,34.0,3060.0,36.0,1.06,118.0,82.0,72.9,16.0,12.0,6.0,11.0,32.4,4.0,4.0,0.0,0.0,34.0,1.0,6.0,0.0,34.9,0.27,-1.1,-0.03,179.0,463.0,38.7,984.0,154.0,32.9,32.2,301.0,46.2,41.0,537.0,26.0,4.8,40.0,1.18,15.2,172.0,21.0,37.1,5.06,0.13,0.35,0.13,2.3,2.5,14730.0,18407.0,80.0,261806.0,94817.0,6457.0,7328.0,88.1,6228.0,7187.0,86.7,1589.0,2767.0,57.4,336.0,981.0,237.0,77.0,1286.0,16655.0,1681.0,434.0,34.0,95.0,609.0,162.0,83.0,66.0,2.0,714.0,71.0,306.0,817.0,24.03,530.0,83.0,64.0,59.0,110.0,3.24,76.0,9.0,9.0,5.0,0.0,468.0,291.0,229.0,183.0,56.0,341.0,121.0,220.0,323.0,708.0,11.0,22067.0,2085.0,6933.0,10956.0,4386.0,715.0,22062.0,12630.0,622.0,409.0,135.0,14643.0,500.0,296.0,3.0,450.0,386.0,71.0,4.0,4.0,0.0,1784.0,649.0,583.0,52.7
vs Eint Frankfurt,27.0,49.1,34.0,374.0,3060.0,58.0,46.0,3.0,3.0,67.0,6.0,1.71,1.35,3.06,1.62,2.97,49.9,47.6,1.47,1.4,34.0,34.0,3057.0,59.0,1.74,172.0,115.0,66.9,15.0,6.0,13.0,6.0,17.6,2.0,2.0,0.0,0.0,34.0,0.0,13.0,2.0,52.5,0.3,-4.5,-0.13,232.0,608.0,38.2,1149.0,183.0,36.5,34.6,304.0,62.2,47.0,709.0,36.0,5.1,45.0,1.32,14.9,171.0,20.0,39.0,5.03,0.13,0.32,0.11,8.1,7.4,12331.0,16294.0,75.7,224751.0,89439.0,5345.0,6334.0,84.4,5019.0,6050.0,83.0,1535.0,2788.0,55.1,335.0,874.0,227.0,68.0,1264.0,14443.0,1754.0,451.0,33.0,146.0,539.0,138.0,51.0,62.0,1.0,770.0,97.0,357.0,758.0,22.29,534.0,65.0,52.0,43.0,99.0,2.91,69.0,6.0,9.0,8.0,0.0,491.0,293.0,266.0,193.0,32.0,417.0,114.0,303.0,403.0,780.0,5.0,20423.0,2443.0,7211.0,9377.0,4086.0,639.0,20420.0,11067.0,563.0,421.0,136.0,12234.0,583.0,364.0,2.0,384.0,403.0,97.0,3.0,2.0,2.0,1993.0,665.0,699.0,48.8
vs Freiburg,26.0,51.9,34.0,374.0,3060.0,47.0,32.0,3.0,4.0,74.0,6.0,1.38,0.94,2.32,1.29,2.24,64.6,61.3,1.9,1.8,34.0,34.0,3060.0,48.0,1.41,144.0,97.0,70.1,12.0,9.0,13.0,8.0,23.5,6.0,5.0,1.0,0.0,34.0,3.0,3.0,2.0,44.6,0.28,-1.4,-0.04,225.0,521.0,43.2,1031.0,158.0,37.0,34.3,267.0,52.4,42.9,505.0,20.0,4.0,34.0,1.0,14.9,188.0,16.0,31.3,5.53,0.07,0.23,0.11,-17.6,-17.3,13736.0,17426.0,78.8,248240.0,92895.0,5944.0,6839.0,86.9,5833.0,6771.0,86.1,1509.0,2752.0,54.8,452.0,1125.0,316.0,93.0,1350.0,15751.0,1637.0,361.0,49.0,121.0,736.0,219.0,89.0,101.0,2.0,708.0,38.0,308.0,1021.0,30.03,747.0,82.0,68.0,44.0,77.0,2.26,53.0,4.0,8.0,4.0,0.0,462.0,303.0,224.0,181.0,57.0,403.0,116.0,287.0,304.0,656.0,11.0,21217.0,2053.0,6364.0,9683.0,5402.0,831.0,21213.0,11876.0,762.0,562.0,174.0,13611.0,545.0,256.0,5.0,457.0,317.0,38.0,4.0,6.0,2.0,1759.0,673.0,636.0,51.4
vs Hertha BSC,32.0,55.3,34.0,374.0,3060.0,57.0,43.0,7.0,7.0,55.0,3.0,1.68,1.26,2.94,1.47,2.74,54.5,49.0,1.6,1.44,34.0,34.0,3060.0,48.0,1.41,122.0,77.0,63.1,15.0,8.0,11.0,9.0,26.5,3.0,3.0,0.0,0.0,34.0,0.0,6.0,3.0,42.0,0.32,-3.0,-0.09,122.0,354.0,34.5,890.0,145.0,31.6,31.7,221.0,33.0,35.3,413.0,16.0,3.9,44.0,1.29,16.9,166.0,20.0,34.9,4.88,0.11,0.3,0.11,2.5,1.0,14773.0,18586.0,79.5,262373.0,96366.0,6521.0,7441.0,87.6,6186.0,7231.0,85.5,1625.0,2749.0,59.1,338.0,1136.0,295.0,69.0,1620.0,16702.0,1811.0,491.0,37.0,150.0,729.0,184.0,59.0,107.0,3.0,833.0,73.0,369.0,816.0,24.0,576.0,69.0,52.0,59.0,105.0,3.09,75.0,8.0,5.0,10.0,0.0,523.0,320.0,243.0,224.0,56.0,331.0,74.0,257.0,289.0,515.0,7.0,22138.0,1745.0,6238.0,10894.0,5205.0,801.0,22131.0,12590.0,714.0,463.0,164.0,14656.0,525.0,347.0,2.0,369.0,444.0,73.0,6.0,3.0,3.0,1862.0,530.0,611.0,46.5
vs Hoffenheim,31.0,48.4,34.0,374.0,3060.0,51.0,37.0,6.0,8.0,80.0,5.0,1.5,1.09,2.59,1.32,2.41,59.6,53.3,1.75,1.57,34.0,34.0,3060.0,53.0,1.56,158.0,105.0,68.4,12.0,7.0,15.0,8.0,23.5,4.0,3.0,1.0,0.0,34.0,1.0,8.0,1.0,53.2,0.32,1.2,0.04,192.0,473.0,40.6,962.0,140.0,37.4,34.9,243.0,46.5,41.1,445.0,16.0,3.6,56.0,1.65,17.2,159.0,12.0,32.4,4.68,0.09,0.28,0.11,-8.6,-8.3,13279.0,16873.0,78.7,247637.0,90130.0,5477.0,6276.0,87.3,5677.0,6683.0,84.9,1722.0,2865.0,60.1,372.0,1078.0,307.0,89.0,1494.0,15142.0,1660.0,412.0,35.0,152.0,751.0,207.0,94.0,73.0,1.0,712.0,71.0,324.0,880.0,25.88,624.0,80.0,54.0,39.0,91.0,2.68,64.0,5.0,6.0,5.0,1.0,537.0,316.0,242.0,225.0,70.0,397.0,104.0,293.0,336.0,595.0,15.0,20742.0,1914.0,6001.0,9534.0,5379.0,846.0,20734.0,11409.0,742.0,494.0,184.0,13158.0,516.0,290.0,3.0,440.0,361.0,71.0,5.0,4.0,1.0,1748.0,541.0,564.0,49.0
vs Köln,29.0,53.3,34.0,374.0,3060.0,67.0,53.0,4.0,6.0,63.0,4.0,1.97,1.56,3.53,1.85,3.41,53.3,48.6,1.57,1.43,34.0,34.0,3060.0,51.0,1.5,151.0,99.0,67.5,18.0,6.0,10.0,5.0,14.7,4.0,2.0,2.0,0.0,34.0,1.0,12.0,1.0,47.3,0.3,-2.7,-0.08,181.0,509.0,35.6,1077.0,179.0,32.3,32.6,263.0,61.2,47.1,551.0,27.0,4.9,50.0,1.47,15.6,150.0,19.0,33.6,4.41,0.14,0.42,0.11,13.7,14.4,13651.0,17500.0,78.0,239631.0,93941.0,6191.0,7108.0,87.1,5520.0,6530.0,84.5,1460.0,2719.0,53.7,335.0,968.0,259.0,55.0,1382.0,15523.0,1933.0,536.0,28.0,112.0,608.0,200.0,94.0,78.0,2.0,846.0,44.0,351.0,796.0,23.41,560.0,73.0,37.0,52.0,120.0,3.53,82.0,10.0,7.0,6.0,0.0,477.0,298.0,196.0,211.0,70.0,340.0,94.0,246.0,387.0,686.0,11.0,21354.0,2141.0,7022.0,9765.0,4799.0,705.0,21348.0,11847.0,633.0,456.0,173.0,13544.0,541.0,361.0,3.0,461.0,472.0,44.0,6.0,4.0,1.0,1884.0,668.0,715.0,48.3
vs Leverkusen,24.0,36.8,34.0,374.0,3060.0,44.0,31.0,2.0,2.0,64.0,1.0,1.29,0.91,2.21,1.24,2.15,51.2,49.7,1.51,1.46,34.0,34.0,3060.0,61.0,1.79,184.0,128.0,67.9,9.0,6.0,19.0,6.0,17.6,2.0,2.0,0.0,0.0,34.0,0.0,4.0,4.0,54.6,0.29,-2.4,-0.07,250.0,637.0,39.2,987.0,130.0,45.6,37.3,271.0,69.0,50.1,528.0,16.0,3.0,38.0,1.12,13.5,141.0,15.0,37.6,4.15,0.11,0.3,0.14,-7.2,-7.7,9475.0,13325.0,71.1,175589.0,74681.0,4053.0,4977.0,81.4,3791.0,4803.0,78.9,1283.0,2519.0,50.9,273.0,695.0,177.0,43.0,923.0,11567.0,1669.0,462.0,63.0,92.0,488.0,129.0,63.0,49.0,2.0,712.0,89.0,330.0,635.0,18.68,414.0,71.0,45.0,43.0,72.0,2.12,44.0,9.0,7.0,5.0,1.0,620.0,370.0,275.0,284.0,61.0,438.0,132.0,306.0,478.0,742.0,13.0,17459.0,2285.0,6476.0,7719.0,3485.0,594.0,17457.0,8844.0,498.0,324.0,146.0,9401.0,533.0,294.0,0.0,397.0,363.0,89.0,0.0,2.0,4.0,1978.0,490.0,518.0,48.6
