player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Gijs Smal,nl NED,DF,Twente,22,1997,22.0,13.0,1375.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,0.3,0.3,0.02,0.02,15.3,3.0,0.0,37.5,0.2,0.0,0.0,0.04,-0.3,-0.3,676.0,991.0,68.2,12429.0,5466.0,300.0,373.0,80.4,289.0,377.0,76.7,81.0,193.0,42.0,31.0,67.0,19.0,13.0,79.0,736.0,251.0,31.0,0.0,2.0,136.0,64.0,31.0,33.0,0.0,156.0,4.0,28.0,48.0,3.14,29.0,18.0,0.0,0.0,4.0,0.26,2.0,2.0,0.0,0.0,0.0,46.0,27.0,28.0,14.0,4.0,8.0,2.0,6.0,24.0,35.0,0.0,1167.0,59.0,325.0,464.0,383.0,21.0,1167.0,528.0,40.0,33.0,7.0,545.0,24.0,9.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,115.0,25.0,23.0,52.1
Bryan Smeets,nl NED,"MF,FW",Sparta R'dam,27,1992,26.0,21.0,1554.0,4.0,3.0,0.0,0.0,3.0,0.0,0.23,0.17,0.41,0.23,0.41,2.8,2.8,0.16,0.16,17.3,9.0,0.0,30.0,0.52,0.13,0.44,0.09,1.2,1.2,584.0,785.0,74.4,10008.0,2367.0,287.0,356.0,80.6,194.0,247.0,78.5,72.0,121.0,59.5,36.0,62.0,19.0,3.0,77.0,705.0,79.0,24.0,3.0,8.0,49.0,28.0,14.0,9.0,1.0,10.0,1.0,12.0,69.0,4.0,61.0,6.0,0.0,0.0,9.0,0.52,5.0,2.0,0.0,0.0,1.0,12.0,9.0,3.0,4.0,5.0,7.0,1.0,6.0,9.0,3.0,0.0,886.0,10.0,95.0,455.0,346.0,38.0,886.0,460.0,29.0,17.0,8.0,603.0,18.0,12.0,0.0,13.0,4.0,3.0,0.0,0.0,0.0,103.0,25.0,21.0,54.3
Jorrit Smeets,nl NED,MF,Fortuna Sittard,25,1995,15.0,10.0,868.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.03,0.03,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.3,-0.3,404.0,516.0,78.3,7105.0,2325.0,186.0,213.0,87.3,161.0,190.0,84.7,46.0,81.0,56.8,10.0,43.0,3.0,0.0,55.0,482.0,33.0,18.0,0.0,2.0,23.0,12.0,11.0,1.0,0.0,2.0,1.0,13.0,18.0,1.87,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,9.0,14.0,3.0,16.0,2.0,14.0,21.0,15.0,0.0,636.0,19.0,136.0,389.0,117.0,3.0,636.0,278.0,9.0,12.0,0.0,374.0,7.0,4.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,60.0,8.0,11.0,42.1
Ian Smeulers,nl NED,DF,Willem II,20,2000,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,233.0,116.0,4.0,4.0,100.0,7.0,9.0,77.8,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,2.0,14.0,10.0,2.0,0.0,25.0,13.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Rein Smit,nl NED,"FW,DF",Heerenveen,19,2001,5.0,0.0,61.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,54.0,3.0,4.0,7.0,57.1,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,3.0,5.0,6.0,5.0,2.0,16.0,10.0,3.0,1.0,0.0,14.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Sylla Sow,nl NED,FW,RKC Waalwijk,23,1996,28.0,11.0,1131.0,3.0,2.0,0.0,0.0,3.0,1.0,0.24,0.16,0.4,0.24,0.4,2.5,2.5,0.2,0.2,12.6,6.0,0.0,40.0,0.48,0.2,0.5,0.16,0.5,0.5,268.0,341.0,78.6,3598.0,540.0,163.0,186.0,87.6,79.0,98.0,80.6,12.0,20.0,60.0,15.0,12.0,5.0,1.0,24.0,321.0,19.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,1.0,18.0,31.0,2.46,21.0,1.0,3.0,4.0,3.0,0.24,3.0,0.0,0.0,0.0,0.0,17.0,10.0,4.0,10.0,3.0,11.0,0.0,11.0,2.0,3.0,0.0,522.0,2.0,42.0,238.0,255.0,44.0,522.0,365.0,38.0,24.0,13.0,413.0,57.0,45.0,0.0,23.0,31.0,6.0,0.0,0.0,0.0,50.0,7.0,29.0,19.4
Uroš Spajić,rs SRB,DF,Feyenoord,27,1993,19.0,19.0,1610.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.02,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.4,-0.4,974.0,1073.0,90.8,19119.0,6833.0,349.0,374.0,93.3,504.0,529.0,95.3,112.0,149.0,75.2,4.0,48.0,1.0,0.0,70.0,1036.0,37.0,29.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,8.0,0.45,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,16.0,7.0,1.0,14.0,10.0,4.0,28.0,65.0,1.0,1237.0,112.0,586.0,638.0,27.0,9.0,1237.0,810.0,15.0,10.0,1.0,863.0,9.0,2.0,0.0,24.0,29.0,0.0,0.0,1.0,0.0,115.0,32.0,24.0,57.1
Wesley Spieringhs,nl NED,MF,Willem II,18,2002,21.0,13.0,1166.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.02,0.02,13.0,1.0,0.0,14.3,0.08,0.0,0.0,0.04,-0.2,-0.2,202.0,300.0,67.3,3100.0,1177.0,107.0,151.0,70.9,73.0,98.0,74.5,11.0,22.0,50.0,5.0,20.0,5.0,0.0,32.0,292.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,13.0,1.0,10.0,0.0,1.0,1.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,42.0,16.0,15.0,24.0,3.0,18.0,7.0,11.0,33.0,18.0,0.0,460.0,30.0,141.0,254.0,71.0,4.0,460.0,171.0,8.0,9.0,1.0,169.0,19.0,10.0,0.0,19.0,4.0,0.0,1.0,0.0,0.0,59.0,12.0,15.0,44.4
Tommy St. Jago,nl NED,DF,Utrecht,20,2000,24.0,23.0,2056.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.04,0.04,22.8,2.0,0.0,20.0,0.09,0.0,0.0,0.08,-0.8,-0.8,1195.0,1367.0,87.4,23881.0,7864.0,360.0,404.0,89.1,689.0,741.0,93.0,139.0,199.0,69.8,3.0,58.0,3.0,1.0,74.0,1320.0,47.0,40.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,20.0,0.88,15.0,2.0,0.0,1.0,3.0,0.13,2.0,0.0,0.0,0.0,0.0,45.0,30.0,34.0,11.0,0.0,37.0,25.0,12.0,31.0,76.0,1.0,1598.0,188.0,830.0,754.0,24.0,10.0,1598.0,953.0,18.0,7.0,0.0,1020.0,10.0,6.0,0.0,18.0,14.0,0.0,0.0,1.0,0.0,157.0,64.0,41.0,61.0
Casper Staring,nl NED,"DF,MF",Twente,19,2001,6.0,1.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.05,0.05,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.1,-0.1,92.0,112.0,82.1,1468.0,450.0,46.0,51.0,90.2,42.0,48.0,87.5,3.0,12.0,25.0,0.0,4.0,0.0,0.0,6.0,109.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,4.0,1.0,3.0,5.0,6.0,0.0,136.0,10.0,54.0,77.0,8.0,2.0,136.0,86.0,2.0,0.0,0.0,86.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,3.0,62.5
