player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Mathew Ryan,au AUS,GK,Brighton,28,1992,11.0,11.0,990.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,411.0,80.0,7967.0,4561.0,67.0,68.0,98.5,176.0,178.0,98.9,84.0,163.0,51.5,0.0,1.0,0.0,0.0,0.0,325.0,86.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,428.0,336.0,424.0,4.0,0.0,0.0,428.0,254.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,100.0
Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23,1997,25.0,19.0,1560.0,3.0,4.0,0.0,0.0,0.0,0.0,0.17,0.23,0.4,0.17,0.4,2.6,2.6,0.15,0.15,17.3,12.0,0.0,40.0,0.69,0.1,0.25,0.09,0.4,0.4,355.0,444.0,80.0,5503.0,1314.0,189.0,220.0,85.9,122.0,152.0,80.3,28.0,37.0,75.7,30.0,28.0,11.0,4.0,65.0,430.0,13.0,0.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,5.0,1.0,11.0,69.0,3.98,44.0,1.0,1.0,6.0,10.0,0.58,7.0,0.0,0.0,0.0,0.0,16.0,9.0,6.0,9.0,1.0,10.0,0.0,10.0,4.0,2.0,0.0,666.0,3.0,66.0,326.0,299.0,54.0,666.0,498.0,81.0,66.0,24.0,518.0,55.0,52.0,0.0,10.0,45.0,5.0,0.0,1.0,0.0,75.0,6.0,9.0,40.0
Romain Saïss,ma MAR,DF,Wolves,30,1990,27.0,27.0,2407.0,3.0,0.0,0.0,0.0,2.0,0.0,0.11,0.0,0.11,0.11,0.11,3.0,3.0,0.11,0.11,26.7,11.0,2.0,39.3,0.41,0.11,0.27,0.11,0.0,0.0,1199.0,1495.0,80.2,23216.0,10367.0,430.0,477.0,90.1,622.0,711.0,87.5,140.0,262.0,53.4,5.0,113.0,5.0,4.0,100.0,1421.0,67.0,24.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,43.0,7.0,17.0,19.0,0.71,16.0,1.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,35.0,24.0,23.0,12.0,0.0,28.0,13.0,15.0,52.0,115.0,1.0,1786.0,187.0,881.0,773.0,140.0,35.0,1786.0,1003.0,12.0,10.0,1.0,1152.0,11.0,2.0,0.0,29.0,11.0,1.0,0.0,2.0,0.0,142.0,71.0,59.0,54.6
Bukayo Saka,eng ENG,"FW,MF",Arsenal,18,2001,32.0,30.0,2553.0,5.0,3.0,0.0,0.0,1.0,0.0,0.18,0.11,0.28,0.18,0.28,6.9,6.9,0.24,0.24,28.4,20.0,1.0,32.8,0.71,0.08,0.25,0.11,-1.9,-1.9,858.0,1161.0,73.9,11752.0,2855.0,525.0,606.0,86.6,242.0,326.0,74.2,40.0,116.0,34.5,38.0,55.0,31.0,9.0,101.0,1042.0,114.0,21.0,2.0,4.0,148.0,63.0,24.0,21.0,5.0,30.0,5.0,39.0,108.0,3.81,71.0,12.0,9.0,8.0,12.0,0.42,9.0,0.0,0.0,2.0,0.0,25.0,16.0,10.0,13.0,2.0,21.0,2.0,19.0,25.0,24.0,0.0,1503.0,39.0,213.0,520.0,783.0,142.0,1503.0,905.0,85.0,53.0,36.0,1098.0,75.0,42.0,0.0,28.0,64.0,15.0,1.0,0.0,1.0,115.0,13.0,42.0,23.6
Mamadou Sakho,fr FRA,DF,Crystal Palace,30,1990,4.0,3.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.02,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,83.0,94.0,88.3,1495.0,730.0,32.0,37.0,86.5,41.0,41.0,100.0,6.0,11.0,54.5,0.0,3.0,0.0,0.0,4.0,78.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,3.0,11.0,0.0,121.0,24.0,58.0,58.0,5.0,2.0,121.0,62.0,0.0,0.0,0.0,59.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,5.0,6.0,45.5
Mohamed Salah,eg EGY,FW,Liverpool,28,1992,37.0,34.0,3078.0,22.0,5.0,6.0,6.0,0.0,0.0,0.64,0.15,0.79,0.47,0.61,19.3,14.6,0.56,0.43,34.2,46.0,1.0,38.3,1.35,0.13,0.35,0.12,2.7,1.4,1067.0,1302.0,82.0,13390.0,3013.0,718.0,796.0,90.2,246.0,316.0,77.8,36.0,54.0,66.7,55.0,59.0,72.0,5.0,136.0,1266.0,32.0,3.0,10.0,4.0,29.0,0.0,0.0,0.0,0.0,6.0,4.0,40.0,134.0,3.92,104.0,1.0,13.0,7.0,16.0,0.47,12.0,0.0,2.0,2.0,0.0,18.0,9.0,4.0,4.0,10.0,10.0,0.0,10.0,1.0,10.0,1.0,1695.0,11.0,65.0,569.0,1073.0,275.0,1689.0,1185.0,111.0,71.0,72.0,1420.0,116.0,82.0,0.0,22.0,22.0,13.0,2.0,0.0,0.0,93.0,18.0,42.0,30.0
Mohammed Salisu,gh GHA,DF,Southampton,21,1999,12.0,8.0,844.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.03,0.03,9.4,1.0,0.0,25.0,0.11,0.0,0.0,0.07,-0.3,-0.3,304.0,383.0,79.4,4301.0,1511.0,181.0,203.0,89.2,96.0,122.0,78.7,11.0,25.0,44.0,2.0,21.0,0.0,0.0,13.0,357.0,26.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,10.0,5.0,0.53,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,21.0,20.0,16.0,2.0,22.0,5.0,17.0,17.0,30.0,0.0,521.0,55.0,207.0,274.0,41.0,7.0,521.0,265.0,8.0,3.0,0.0,272.0,12.0,7.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,49.0,21.0,20.0,51.2
Davinson Sánchez,co COL,DF,Tottenham,24,1996,18.0,17.0,1486.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.05,0.05,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-0.8,-0.8,868.0,1027.0,84.5,16505.0,5026.0,292.0,327.0,89.3,497.0,543.0,91.5,65.0,123.0,52.8,1.0,18.0,1.0,0.0,36.0,1003.0,24.0,23.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,0.48,6.0,1.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,40.0,20.0,31.0,9.0,0.0,18.0,13.0,5.0,14.0,85.0,2.0,1210.0,171.0,683.0,517.0,12.0,8.0,1210.0,729.0,2.0,2.0,0.0,809.0,7.0,3.0,0.0,22.0,8.0,0.0,0.0,3.0,1.0,74.0,49.0,32.0,60.5
Robert Sanchez,es ESP,GK,Brighton,22,1997,27.0,27.0,2430.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Sanson,fr FRA,MF,Aston Villa,25,1994,9.0,3.0,294.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,118.0,154.0,76.6,1742.0,504.0,70.0,75.0,93.3,35.0,45.0,77.8,9.0,17.0,52.9,1.0,12.0,3.0,1.0,16.0,146.0,8.0,2.0,0.0,2.0,16.0,6.0,4.0,0.0,0.0,0.0,0.0,8.0,5.0,1.53,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,1.0,5.0,0.0,5.0,4.0,1.0,0.0,201.0,2.0,26.0,102.0,79.0,3.0,201.0,127.0,9.0,12.0,1.0,137.0,10.0,3.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,19.0,5.0,3.0,62.5
