player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ismail Jakobs,sn SEN,"DF,FW",Monaco,22,1999,32.0,9.0,1119.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.16,0.16,0.0,0.16,1.0,1.0,0.08,0.08,12.4,6.0,1.0,42.9,0.48,0.0,0.0,0.07,-1.0,-1.0,423.0,656.0,64.5,6246.0,2158.0,231.0,300.0,77.0,138.0,214.0,64.5,26.0,78.0,33.3,12.0,36.0,18.0,10.0,46.0,560.0,89.0,12.0,1.0,2.0,61.0,3.0,1.0,0.0,0.0,74.0,7.0,27.0,30.0,2.41,24.0,2.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,11.0,5.0,7.0,3.0,1.0,9.0,1.0,8.0,9.0,18.0,0.0,749.0,24.0,145.0,311.0,299.0,41.0,749.0,483.0,39.0,31.0,8.0,493.0,17.0,7.0,0.0,14.0,9.0,1.0,0.0,0.0,0.0,46.0,50.0,26.0,65.8
Marin Jakoliš,hr CRO,FW,Angers,25,1996,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.39,0.39,0.3,1.0,0.0,50.0,3.21,0.0,0.0,0.06,-0.1,-0.1,4.0,7.0,57.1,63.0,31.0,1.0,1.0,100.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,3.0,10.0,3.0,14.0,11.0,2.0,0.0,1.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Luis Javier Suárez,co COL,FW,Marseille,24,1997,7.0,2.0,293.0,3.0,1.0,0.0,0.0,1.0,0.0,0.92,0.31,1.23,0.92,1.23,2.4,2.4,0.74,0.74,3.3,7.0,0.0,43.8,2.15,0.19,0.43,0.15,0.6,0.6,53.0,78.0,67.9,904.0,263.0,26.0,39.0,66.7,21.0,27.0,77.8,4.0,4.0,100.0,3.0,8.0,4.0,0.0,11.0,74.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.14,5.0,0.0,1.0,0.0,2.0,0.61,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,6.0,0.0,119.0,7.0,15.0,53.0,53.0,20.0,119.0,78.0,5.0,5.0,0.0,80.0,7.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,17.0,26.1
Dany Jean,ht HAI,"DF,MF",Strasbourg,19,2002,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.4,46.0,26.0,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,4.0,8.0,0.0,13.0,9.0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Julian Jeanvier,gn GUI,DF,Auxerre,30,1992,22.0,20.0,1760.0,1.0,0.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,1.2,1.2,0.06,0.06,19.6,4.0,0.0,50.0,0.2,0.13,0.25,0.15,-0.2,-0.2,653.0,792.0,82.4,12993.0,4484.0,220.0,260.0,84.6,328.0,364.0,90.1,90.0,143.0,62.9,1.0,22.0,0.0,0.0,27.0,756.0,34.0,27.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,6.0,9.0,0.46,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,24.0,8.0,0.0,24.0,17.0,7.0,27.0,96.0,1.0,1002.0,168.0,558.0,423.0,23.0,12.0,1002.0,674.0,4.0,4.0,0.0,607.0,8.0,2.0,1.0,25.0,10.0,0.0,0.0,0.0,0.0,82.0,24.0,26.0,48.0
Jefferson,br BRA,FW,Lyon,22,1999,9.0,4.0,446.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,1.1,1.1,0.23,0.23,5.0,5.0,0.0,50.0,1.01,0.1,0.2,0.11,-0.1,-0.1,146.0,173.0,84.4,1802.0,399.0,98.0,107.0,91.6,36.0,43.0,83.7,1.0,1.0,100.0,7.0,11.0,4.0,0.0,10.0,171.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,19.0,3.83,12.0,0.0,0.0,4.0,3.0,0.61,2.0,0.0,0.0,1.0,0.0,17.0,4.0,4.0,9.0,4.0,6.0,0.0,6.0,1.0,0.0,0.0,258.0,3.0,21.0,100.0,147.0,32.0,258.0,207.0,27.0,28.0,14.0,201.0,21.0,12.0,0.0,8.0,10.0,0.0,1.0,0.0,0.0,21.0,3.0,6.0,33.3
Paul Joly,fr FRA,DF,Auxerre,22,2000,10.0,10.0,867.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.1,-0.1,514.0,652.0,78.8,9641.0,3372.0,218.0,247.0,88.3,201.0,237.0,84.8,75.0,127.0,59.1,7.0,34.0,13.0,8.0,41.0,565.0,86.0,5.0,1.0,17.0,36.0,0.0,0.0,0.0,0.0,81.0,1.0,19.0,18.0,1.87,14.0,0.0,1.0,1.0,3.0,0.31,1.0,0.0,0.0,1.0,0.0,33.0,21.0,21.0,10.0,2.0,13.0,2.0,11.0,24.0,29.0,2.0,783.0,54.0,283.0,328.0,179.0,4.0,783.0,519.0,19.0,27.0,1.0,445.0,9.0,12.0,0.0,7.0,9.0,0.0,1.0,0.0,0.0,83.0,6.0,11.0,35.3
Jubal,br BRA,DF,Auxerre,28,1993,37.0,35.0,3217.0,3.0,1.0,1.0,1.0,7.0,0.0,0.08,0.03,0.11,0.06,0.08,3.1,2.3,0.09,0.06,35.7,5.0,0.0,27.8,0.14,0.11,0.4,0.13,-0.1,-0.3,1099.0,1345.0,81.7,24023.0,7984.0,294.0,353.0,83.3,581.0,637.0,91.2,197.0,318.0,61.9,4.0,65.0,4.0,2.0,73.0,1280.0,64.0,63.0,1.0,22.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,19.0,0.53,13.0,3.0,2.0,1.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,41.0,26.0,29.0,11.0,1.0,57.0,34.0,23.0,53.0,193.0,0.0,1774.0,305.0,979.0,749.0,57.0,31.0,1773.0,1106.0,7.0,11.0,0.0,972.0,23.0,4.0,0.0,38.0,24.0,4.0,1.0,0.0,0.0,178.0,76.0,56.0,57.6
Christopher Jullien,fr FRA,DF,Montpellier,29,1993,30.0,30.0,2695.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.07,0.07,0.0,0.07,2.0,2.0,0.07,0.07,29.9,2.0,0.0,11.8,0.07,0.0,0.0,0.12,-2.0,-2.0,884.0,1065.0,83.0,17736.0,6583.0,284.0,347.0,81.8,456.0,507.0,89.9,122.0,180.0,67.8,7.0,30.0,1.0,0.0,52.0,1017.0,46.0,40.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,19.0,0.63,16.0,1.0,2.0,0.0,4.0,0.13,3.0,0.0,1.0,0.0,0.0,46.0,28.0,29.0,14.0,3.0,35.0,18.0,17.0,43.0,114.0,1.0,1360.0,239.0,746.0,574.0,47.0,32.0,1360.0,850.0,2.0,4.0,1.0,755.0,15.0,4.0,0.0,33.0,6.0,3.0,0.0,2.0,0.0,141.0,86.0,40.0,68.3
Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,16,2006,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,46.0,22.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
