player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3.0,3.0,204.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,120.0,60.8,1324.0,635.0,32.0,43.0,74.4,31.0,51.0,60.8,9.0,17.0,52.9,2.0,6.0,2.0,2.0,8.0,92.0,28.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,25.0,0.0,8.0,3.0,1.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,7.0,5.0,0.0,5.0,0.0,5.0,8.0,9.0,0.0,157.0,9.0,49.0,80.0,31.0,0.0,157.0,70.0,3.0,4.0,0.0,71.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,5.0,16.7
Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.04,0.04,38.0,4.0,0.0,21.1,0.11,0.0,0.0,0.09,-1.6,-1.6,1330.0,1614.0,82.4,28130.0,10765.0,344.0,405.0,84.9,804.0,877.0,91.7,171.0,289.0,59.2,3.0,49.0,3.0,0.0,71.0,1543.0,63.0,62.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,19.0,25.0,0.66,17.0,1.0,4.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,60.0,33.0,48.0,11.0,1.0,44.0,24.0,20.0,65.0,196.0,0.0,2027.0,259.0,1276.0,738.0,46.0,27.0,2027.0,1040.0,16.0,7.0,1.0,1182.0,16.0,6.0,0.0,34.0,20.0,1.0,0.0,1.0,1.0,205.0,113.0,71.0,61.4
Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26.0,23.0,2023.0,3.0,0.0,1.0,1.0,6.0,0.0,0.13,0.0,0.13,0.09,0.09,2.9,2.1,0.13,0.1,22.5,10.0,0.0,27.8,0.44,0.06,0.2,0.06,0.1,-0.1,903.0,1068.0,84.6,15602.0,3725.0,419.0,466.0,89.9,365.0,405.0,90.1,90.0,143.0,62.9,22.0,92.0,5.0,2.0,97.0,1028.0,35.0,17.0,4.0,12.0,24.0,10.0,1.0,6.0,0.0,5.0,5.0,13.0,41.0,1.82,30.0,4.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,51.0,33.0,27.0,16.0,8.0,33.0,7.0,26.0,29.0,23.0,1.0,1356.0,30.0,252.0,870.0,258.0,21.0,1355.0,786.0,43.0,23.0,4.0,908.0,40.0,31.0,0.0,57.0,28.0,1.0,0.0,0.0,0.0,145.0,17.0,26.0,39.5
Charles Abi,fr FRA,"DF,FW",Saint-Étienne,18,2000,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.17,0.17,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,6.0,17.0,35.3,45.0,8.0,5.0,7.0,71.4,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0,1.0,6.0,10.0,14.0,4.0,29.0,16.0,2.0,2.0,0.0,17.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
Khaled Adénon,bj BEN,DF,Amiens,33,1985,23.0,22.0,1994.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.03,0.03,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.7,-0.7,837.0,973.0,86.0,17115.0,6832.0,237.0,258.0,91.9,476.0,518.0,91.9,109.0,168.0,64.9,5.0,53.0,3.0,0.0,63.0,938.0,32.0,31.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11.0,0.5,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,20.0,11.0,0.0,26.0,11.0,15.0,31.0,101.0,0.0,1203.0,127.0,587.0,598.0,24.0,16.0,1203.0,687.0,13.0,4.0,0.0,701.0,5.0,7.0,1.0,32.0,20.0,2.0,0.0,0.0,1.0,107.0,51.0,58.0,46.8
Yacine Adli,fr FRA,MF,Bordeaux,18,2000,7.0,2.0,216.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,111.0,151.0,73.5,1783.0,526.0,54.0,69.0,78.3,45.0,59.0,76.3,9.0,16.0,56.3,6.0,17.0,2.0,1.0,17.0,145.0,5.0,1.0,1.0,2.0,9.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,10.0,4.17,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,184.0,0.0,12.0,107.0,68.0,6.0,184.0,112.0,13.0,12.0,2.0,147.0,11.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,66.7
Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13.0,12.0,1050.0,3.0,0.0,0.0,0.0,4.0,1.0,0.26,0.0,0.26,0.26,0.26,1.5,1.5,0.13,0.13,11.7,4.0,0.0,40.0,0.34,0.3,0.75,0.15,1.5,1.5,465.0,604.0,77.0,9427.0,4171.0,153.0,167.0,91.6,223.0,264.0,84.5,80.0,148.0,54.1,2.0,39.0,3.0,2.0,32.0,561.0,40.0,18.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,22.0,3.0,8.0,8.0,0.69,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,8.0,9.0,0.0,20.0,11.0,9.0,14.0,59.0,1.0,747.0,68.0,336.0,383.0,36.0,9.0,747.0,376.0,11.0,6.0,0.0,460.0,8.0,5.0,0.0,19.0,8.0,0.0,0.0,1.0,0.0,58.0,41.0,23.0,64.1
Ruben Aguilar,fr FRA,DF,Montpellier,25,1993,29.0,29.0,2528.0,1.0,4.0,0.0,0.0,8.0,0.0,0.04,0.14,0.18,0.04,0.18,0.9,0.9,0.03,0.03,28.1,4.0,0.0,30.8,0.14,0.08,0.25,0.07,0.1,0.1,1315.0,1640.0,80.2,20563.0,7554.0,730.0,806.0,90.6,468.0,573.0,81.7,86.0,159.0,54.1,44.0,82.0,46.0,25.0,128.0,1334.0,297.0,15.0,0.0,7.0,115.0,1.0,0.0,0.0,0.0,281.0,9.0,51.0,103.0,3.67,80.0,8.0,2.0,7.0,7.0,0.25,6.0,0.0,1.0,0.0,0.0,88.0,51.0,40.0,33.0,15.0,23.0,3.0,20.0,37.0,50.0,1.0,1970.0,63.0,417.0,953.0,614.0,35.0,1970.0,921.0,85.0,60.0,9.0,1172.0,47.0,26.0,0.0,37.0,40.0,1.0,0.0,1.0,0.0,185.0,28.0,32.0,46.7
Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17.0,12.0,1075.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,0.8,0.8,0.07,0.07,11.9,3.0,0.0,23.1,0.25,0.0,0.0,0.06,-0.8,-0.8,463.0,549.0,84.3,7732.0,2051.0,217.0,245.0,88.6,193.0,218.0,88.5,40.0,56.0,71.4,8.0,50.0,4.0,1.0,64.0,537.0,12.0,9.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,28.0,2.34,20.0,0.0,3.0,1.0,3.0,0.25,2.0,0.0,1.0,0.0,0.0,20.0,11.0,6.0,11.0,3.0,7.0,0.0,7.0,17.0,12.0,0.0,661.0,10.0,110.0,439.0,124.0,17.0,661.0,395.0,36.0,24.0,4.0,441.0,14.0,9.0,0.0,26.0,17.0,0.0,0.0,0.0,0.0,79.0,22.0,25.0,46.8
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13.0,11.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.02,10.4,1.0,0.0,14.3,0.1,0.0,0.0,0.04,-0.3,-0.3,572.0,656.0,87.2,10579.0,2532.0,247.0,274.0,90.1,241.0,269.0,89.6,72.0,83.0,86.7,7.0,42.0,7.0,2.0,67.0,643.0,11.0,5.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,11.0,20.0,1.93,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,9.0,12.0,4.0,15.0,2.0,13.0,19.0,6.0,2.0,748.0,12.0,174.0,494.0,87.0,2.0,748.0,382.0,6.0,2.0,0.0,557.0,6.0,7.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,74.0,7.0,10.0,41.2
