player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Myenty Abena,sr SUR,DF,De Graafschap,23,1994,12.0,10.0,886.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.06,0.06,9.8,1.0,0.0,16.7,0.1,0.0,0.0,0.1,-0.6,-0.6,319.0,392.0,81.4,6159.0,2216.0,118.0,138.0,85.5,157.0,184.0,85.3,40.0,54.0,74.1,2.0,22.0,1.0,0.0,34.0,337.0,55.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,9.0,11.0,1.12,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,22.0,7.0,1.0,9.0,2.0,7.0,18.0,33.0,0.0,516.0,39.0,230.0,243.0,48.0,13.0,516.0,266.0,13.0,5.0,5.0,249.0,7.0,2.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,61.0,11.0,19.0,36.7
Zakaria Aboukhlal,ma MAR,FW,PSV Eindhoven,18,2000,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,4.0,6.0,66.7,44.0,2.0,1.0,2.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,5.0,2.0,10.0,5.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Absalem,nl NED,DF,Groningen,21,1997,3.0,2.0,163.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.55,0.55,0.0,0.55,0.0,0.0,0.02,0.02,1.8,1.0,0.0,100.0,0.55,0.0,0.0,0.04,0.0,0.0,46.0,68.0,67.6,867.0,295.0,20.0,26.0,76.9,20.0,29.0,69.0,6.0,12.0,50.0,1.0,3.0,2.0,1.0,5.0,59.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,4.0,2.21,4.0,0.0,0.0,0.0,1.0,0.55,1.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,90.0,4.0,41.0,29.0,21.0,1.0,90.0,55.0,1.0,2.0,1.0,42.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,25.0
Atakan Akkaynak,de GER,MF,Willem II,19,1999,8.0,5.0,283.0,1.0,2.0,0.0,0.0,0.0,1.0,0.32,0.64,0.95,0.32,0.95,0.5,0.5,0.14,0.14,3.1,1.0,0.0,100.0,0.32,1.0,1.0,0.45,0.5,0.5,115.0,135.0,85.2,1770.0,492.0,60.0,69.0,87.0,42.0,45.0,93.3,8.0,13.0,61.5,2.0,6.0,0.0,0.0,9.0,129.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,2.22,6.0,0.0,0.0,0.0,2.0,0.63,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,0.0,4.0,3.0,6.0,0.0,163.0,4.0,29.0,115.0,20.0,2.0,163.0,86.0,3.0,4.0,1.0,109.0,5.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,13.0,4.0,4.0,50.0
Mukhtar Ali,sa KSA,MF,Vitesse,20,1997,6.0,2.0,177.0,1.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.51,0.51,0.51,0.9,0.9,0.45,0.45,2.0,1.0,0.0,50.0,0.51,0.5,1.0,0.44,0.1,0.1,67.0,80.0,83.8,1005.0,194.0,33.0,37.0,89.2,23.0,25.0,92.0,5.0,6.0,83.3,0.0,4.0,0.0,0.0,5.0,72.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,104.0,3.0,24.0,65.0,16.0,3.0,104.0,48.0,0.0,0.0,0.0,56.0,4.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0,6.0,50.0
Mounir El Allouchi,ma MAR,"MF,FW",NAC Breda,23,1994,28.0,21.0,1906.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.09,0.09,0.0,0.09,1.4,1.4,0.07,0.07,21.2,11.0,2.0,31.4,0.52,0.0,0.0,0.04,-1.4,-1.4,843.0,1057.0,79.8,13055.0,3283.0,463.0,533.0,86.9,286.0,337.0,84.9,67.0,117.0,57.3,20.0,74.0,22.0,3.0,96.0,1016.0,35.0,12.0,2.0,6.0,31.0,4.0,2.0,1.0,0.0,16.0,6.0,20.0,61.0,2.88,48.0,1.0,5.0,6.0,6.0,0.28,5.0,0.0,1.0,0.0,0.0,35.0,24.0,21.0,12.0,2.0,15.0,1.0,14.0,16.0,26.0,1.0,1259.0,37.0,232.0,683.0,355.0,28.0,1259.0,804.0,55.0,35.0,11.0,911.0,38.0,30.0,1.0,23.0,45.0,0.0,0.0,0.0,0.0,149.0,14.0,16.0,46.7
Pelle van Amersfoort,nl NED,"MF,FW",Heerenveen,22,1996,28.0,11.0,1178.0,4.0,1.0,0.0,0.0,2.0,0.0,0.31,0.08,0.38,0.31,0.38,3.3,3.3,0.25,0.25,13.1,11.0,0.0,47.8,0.84,0.17,0.36,0.14,0.7,0.7,257.0,391.0,65.7,3877.0,1176.0,138.0,194.0,71.1,85.0,121.0,70.2,16.0,33.0,48.5,18.0,32.0,11.0,2.0,44.0,372.0,16.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,12.0,3.0,13.0,42.0,3.21,35.0,0.0,2.0,4.0,7.0,0.53,2.0,0.0,1.0,3.0,1.0,24.0,17.0,10.0,9.0,5.0,10.0,4.0,6.0,9.0,19.0,0.0,555.0,23.0,88.0,268.0,209.0,39.0,555.0,252.0,18.0,24.0,3.0,383.0,28.0,12.0,0.0,25.0,29.0,2.0,2.0,0.0,1.0,53.0,41.0,62.0,39.8
Mikael Anderson,is ISL,"FW,MF",Excelsior,20,1998,17.0,7.0,715.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.13,0.25,0.13,0.25,1.0,1.0,0.13,0.13,7.9,4.0,1.0,33.3,0.5,0.08,0.25,0.09,0.0,0.0,103.0,185.0,55.7,1484.0,352.0,57.0,82.0,69.5,40.0,64.0,62.5,3.0,21.0,14.3,4.0,5.0,6.0,3.0,10.0,183.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,16.0,2.02,9.0,0.0,1.0,4.0,2.0,0.25,1.0,0.0,0.0,0.0,0.0,18.0,10.0,11.0,3.0,4.0,7.0,0.0,7.0,2.0,4.0,0.0,285.0,4.0,50.0,103.0,139.0,21.0,285.0,181.0,29.0,10.0,7.0,200.0,23.0,10.0,0.0,9.0,19.0,2.0,0.0,0.0,0.0,36.0,13.0,23.0,36.1
Angeliño,es ESP,DF,PSV Eindhoven,21,1997,34.0,34.0,3048.0,1.0,9.0,0.0,0.0,3.0,0.0,0.03,0.27,0.3,0.03,0.3,2.0,2.0,0.06,0.06,33.9,13.0,2.0,46.4,0.38,0.04,0.08,0.07,-1.0,-1.0,1803.0,2442.0,73.8,29085.0,10813.0,937.0,1055.0,88.8,661.0,909.0,72.7,149.0,329.0,45.3,68.0,146.0,88.0,44.0,194.0,2001.0,438.0,45.0,2.0,8.0,212.0,13.0,1.0,9.0,2.0,380.0,3.0,59.0,129.0,3.81,106.0,8.0,2.0,5.0,17.0,0.5,14.0,1.0,0.0,0.0,2.0,74.0,41.0,39.0,28.0,7.0,34.0,7.0,27.0,48.0,89.0,0.0,2815.0,86.0,579.0,1343.0,927.0,89.0,2815.0,1542.0,143.0,110.0,25.0,1671.0,45.0,23.0,0.0,18.0,38.0,10.0,0.0,0.0,0.0,243.0,27.0,20.0,57.4
Pele van Anholt,nl NED,"DF,MF",NAC Breda,27,1991,16.0,14.0,1272.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.02,0.02,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.2,-0.2,566.0,753.0,75.2,9775.0,3694.0,284.0,322.0,88.2,208.0,270.0,77.0,62.0,120.0,51.7,5.0,38.0,9.0,2.0,66.0,585.0,165.0,9.0,1.0,6.0,36.0,0.0,0.0,0.0,0.0,156.0,3.0,17.0,17.0,1.2,15.0,0.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,35.0,21.0,24.0,8.0,3.0,13.0,6.0,7.0,19.0,32.0,1.0,899.0,43.0,272.0,429.0,206.0,9.0,899.0,464.0,24.0,18.0,2.0,491.0,14.0,10.0,0.0,15.0,16.0,1.0,0.0,0.0,0.0,89.0,15.0,20.0,42.9
