team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Ajax,30.0,33.4,34.0,374.0,3060.0,19.0,15.0,0.0,0.0,54.0,0.0,0.56,0.44,1.0,0.56,1.0,28.8,28.8,0.85,0.85,34.0,34.0,3060.0,98.0,2.88,243.0,146.0,62.1,3.0,5.0,26.0,3.0,8.8,9.0,6.0,3.0,0.0,34.0,1.0,13.0,4.0,89.7,0.34,-4.3,-0.13,278.0,833.0,33.4,1083.0,154.0,54.0,40.9,369.0,67.2,49.9,622.0,30.0,4.8,12.0,0.35,9.6,78.0,8.0,29.2,2.29,0.07,0.24,0.11,-9.8,-9.8,8041.0,11891.0,67.6,152662.0,67277.0,3431.0,4291.0,80.0,3249.0,4204.0,77.3,1112.0,2560.0,43.4,196.0,551.0,145.0,41.0,690.0,10236.0,1621.0,342.0,26.0,77.0,363.0,89.0,44.0,33.0,0.0,682.0,34.0,292.0,442.0,13.0,338.0,39.0,20.0,18.0,27.0,0.79,22.0,0.0,3.0,0.0,1.0,609.0,365.0,339.0,208.0,62.0,481.0,174.0,307.0,437.0,937.0,15.0,16238.0,3179.0,7556.0,5985.0,2885.0,451.0,16238.0,7444.0,344.0,259.0,115.0,7958.0,628.0,311.0,0.0,355.0,269.0,34.0,0.0,9.0,4.0,1820.0,407.0,609.0,40.1
vs AZ Alkmaar,28.0,43.9,34.0,374.0,3060.0,44.0,33.0,0.0,0.0,43.0,3.0,1.29,0.97,2.26,1.29,2.26,42.0,42.0,1.23,1.23,34.0,34.0,3060.0,64.0,1.88,169.0,107.0,65.7,9.0,7.0,18.0,7.0,20.6,7.0,6.0,0.0,1.0,34.0,0.0,12.0,2.0,53.2,0.29,-8.8,-0.26,245.0,632.0,38.8,1191.0,150.0,40.9,35.6,278.0,52.2,42.9,533.0,20.0,3.8,52.0,1.53,16.6,133.0,22.0,36.0,3.91,0.12,0.33,0.12,2.0,2.0,11730.0,15718.0,74.6,219100.0,83661.0,4797.0,5760.0,83.3,5042.0,6003.0,84.0,1489.0,2908.0,51.2,253.0,836.0,187.0,52.0,993.0,14113.0,1541.0,394.0,48.0,108.0,499.0,129.0,52.0,63.0,1.0,629.0,64.0,294.0,598.0,17.59,395.0,57.0,45.0,43.0,77.0,2.26,56.0,3.0,8.0,3.0,1.0,565.0,344.0,258.0,236.0,71.0,391.0,107.0,284.0,373.0,617.0,11.0,19636.0,2579.0,7375.0,8666.0,3811.0,531.0,19636.0,10027.0,420.0,319.0,83.0,11597.0,604.0,301.0,1.0,301.0,322.0,64.0,0.0,7.0,2.0,2013.0,580.0,585.0,49.8
vs Cambuur,27.0,51.5,34.0,374.0,3060.0,69.0,56.0,1.0,2.0,51.0,2.0,2.03,1.65,3.68,2.0,3.65,66.2,64.6,1.95,1.9,34.0,34.0,3060.0,53.0,1.56,130.0,78.0,62.3,17.0,6.0,11.0,6.0,17.6,5.0,4.0,1.0,0.0,34.0,1.0,5.0,2.0,42.1,0.29,-8.9,-0.26,215.0,499.0,43.1,944.0,172.0,38.9,34.5,213.0,62.0,47.1,332.0,18.0,5.4,43.0,1.26,15.4,205.0,10.0,35.7,6.03,0.12,0.33,0.11,2.8,3.4,12632.0,16473.0,76.7,231224.0,90707.0,5595.0,6511.0,85.9,5112.0,6159.0,83.0,1562.0,2813.0,55.5,431.0,1116.0,363.0,100.0,1556.0,14656.0,1746.0,367.0,47.0,145.0,783.0,242.0,114.0,89.0,2.0,822.0,71.0,289.0,1012.0,29.76,736.0,104.0,64.0,39.0,123.0,3.62,92.0,12.0,9.0,5.0,0.0,485.0,309.0,208.0,208.0,69.0,294.0,73.0,221.0,292.0,458.0,12.0,20255.0,1812.0,5639.0,9025.0,5806.0,1019.0,20253.0,11274.0,725.0,543.0,188.0,12495.0,629.0,303.0,1.0,365.0,322.0,71.0,1.0,5.0,2.0,1965.0,569.0,476.0,54.4
vs Feyenoord,31.0,41.2,34.0,374.0,3060.0,33.0,23.0,4.0,4.0,59.0,5.0,0.97,0.68,1.65,0.85,1.53,34.3,31.1,1.01,0.92,34.0,34.0,3060.0,76.0,2.24,227.0,151.0,67.8,7.0,5.0,22.0,3.0,8.8,4.0,3.0,1.0,0.0,34.0,0.0,13.0,1.0,72.3,0.31,-2.7,-0.08,282.0,713.0,39.6,1073.0,210.0,45.2,37.8,389.0,58.6,45.4,534.0,24.0,4.5,37.0,1.09,13.5,103.0,8.0,34.4,3.03,0.1,0.28,0.11,-1.3,-2.1,10350.0,14125.0,73.3,197758.0,82664.0,4348.0,5218.0,83.3,4348.0,5273.0,82.5,1409.0,2826.0,49.9,222.0,749.0,189.0,60.0,945.0,12441.0,1645.0,382.0,34.0,132.0,449.0,122.0,48.0,57.0,1.0,639.0,39.0,300.0,523.0,15.38,387.0,41.0,29.0,24.0,58.0,1.71,44.0,1.0,3.0,5.0,1.0,583.0,332.0,327.0,182.0,74.0,446.0,168.0,278.0,446.0,854.0,15.0,18401.0,3027.0,7771.0,7361.0,3445.0,516.0,18397.0,9335.0,439.0,347.0,110.0,10229.0,607.0,298.0,2.0,331.0,311.0,39.0,4.0,4.0,1.0,1925.0,434.0,497.0,46.6
vs Fortuna Sittard,29.0,56.8,34.0,374.0,3060.0,66.0,54.0,1.0,2.0,40.0,0.0,1.94,1.59,3.53,1.91,3.5,67.7,66.1,1.99,1.94,34.0,34.0,3060.0,36.0,1.06,126.0,91.0,73.8,19.0,5.0,10.0,7.0,20.6,3.0,3.0,0.0,0.0,34.0,3.0,8.0,1.0,33.5,0.25,-1.5,-0.04,197.0,595.0,33.1,1029.0,176.0,42.9,36.5,229.0,67.2,48.9,408.0,24.0,5.9,49.0,1.44,17.1,198.0,20.0,34.1,5.82,0.11,0.33,0.12,-1.7,-1.1,13949.0,18009.0,77.5,250712.0,94176.0,6089.0,7040.0,86.5,5892.0,6922.0,85.1,1537.0,2975.0,51.7,443.0,1233.0,391.0,114.0,1593.0,16264.0,1689.0,405.0,48.0,140.0,708.0,198.0,87.0,73.0,2.0,775.0,56.0,299.0,1021.0,30.03,747.0,83.0,73.0,44.0,113.0,3.32,84.0,7.0,15.0,2.0,4.0,511.0,309.0,205.0,225.0,81.0,304.0,75.0,229.0,250.0,549.0,8.0,21877.0,1950.0,6226.0,9980.0,5878.0,1017.0,21875.0,12201.0,687.0,486.0,195.0,13771.0,632.0,272.0,0.0,330.0,366.0,56.0,2.0,3.0,1.0,2031.0,546.0,597.0,47.8
vs Go Ahead Eag,26.0,52.9,34.0,374.0,3060.0,50.0,34.0,4.0,4.0,52.0,1.0,1.47,1.0,2.47,1.35,2.35,59.2,56.1,1.74,1.65,34.0,34.0,3060.0,37.0,1.09,125.0,89.0,72.0,18.0,6.0,10.0,13.0,38.2,2.0,2.0,0.0,0.0,34.0,0.0,9.0,1.0,33.9,0.26,-2.1,-0.06,210.0,604.0,34.8,1029.0,168.0,45.5,38.2,236.0,57.6,45.7,418.0,23.0,5.5,54.0,1.59,16.3,175.0,10.0,32.7,5.15,0.09,0.26,0.11,-9.2,-10.1,13327.0,17531.0,76.0,250020.0,88625.0,5401.0,6378.0,84.7,5729.0,6863.0,83.5,1745.0,3189.0,54.7,398.0,1187.0,349.0,119.0,1475.0,15872.0,1620.0,334.0,24.0,147.0,776.0,179.0,79.0,75.0,1.0,799.0,39.0,319.0,939.0,27.62,709.0,69.0,52.0,39.0,72.0,2.12,47.0,6.0,8.0,6.0,3.0,585.0,342.0,258.0,228.0,99.0,393.0,81.0,312.0,333.0,550.0,10.0,21617.0,1996.0,6247.0,9808.0,5773.0,898.0,21613.0,11744.0,698.0,500.0,156.0,13199.0,627.0,250.0,0.0,343.0,286.0,39.0,2.0,2.0,1.0,2022.0,652.0,557.0,53.9
vs Groningen,28.0,50.9,34.0,374.0,3060.0,53.0,38.0,2.0,2.0,56.0,5.0,1.56,1.12,2.68,1.5,2.62,46.7,45.2,1.37,1.33,34.0,34.0,3060.0,41.0,1.21,137.0,98.0,70.8,16.0,9.0,9.0,9.0,26.5,1.0,1.0,0.0,0.0,34.0,1.0,4.0,2.0,36.5,0.27,-2.5,-0.07,257.0,689.0,37.3,890.0,153.0,54.3,42.4,288.0,71.5,52.0,517.0,28.0,5.4,31.0,0.91,13.7,160.0,13.0,36.3,4.71,0.12,0.32,0.11,6.3,5.8,11918.0,15884.0,75.0,215279.0,86691.0,5326.0,6228.0,85.5,4802.0,5855.0,82.0,1394.0,2778.0,50.2,319.0,1057.0,264.0,67.0,1225.0,14054.0,1757.0,392.0,54.0,109.0,539.0,175.0,79.0,73.0,3.0,814.0,73.0,305.0,749.0,22.03,517.0,86.0,62.0,26.0,88.0,2.59,58.0,12.0,10.0,3.0,1.0,498.0,298.0,237.0,194.0,67.0,292.0,91.0,201.0,282.0,717.0,10.0,19624.0,2189.0,6254.0,8547.0,5022.0,699.0,19622.0,10116.0,520.0,421.0,128.0,11840.0,614.0,322.0,2.0,375.0,334.0,73.0,1.0,1.0,2.0,1926.0,644.0,518.0,55.4
vs Heerenveen,32.0,52.5,34.0,374.0,3060.0,49.0,35.0,7.0,8.0,44.0,3.0,1.44,1.03,2.47,1.24,2.26,51.4,45.0,1.51,1.32,34.0,34.0,3060.0,37.0,1.09,131.0,97.0,74.0,15.0,8.0,11.0,10.0,29.4,3.0,3.0,0.0,0.0,34.0,0.0,4.0,3.0,37.2,0.27,3.2,0.09,178.0,439.0,40.5,927.0,163.0,35.1,33.8,226.0,50.4,41.0,449.0,17.0,3.8,44.0,1.29,15.5,142.0,8.0,32.2,4.18,0.1,0.3,0.1,-2.4,-3.0,13725.0,17535.0,78.3,247283.0,93715.0,6008.0,6883.0,87.3,5729.0,6809.0,84.1,1568.0,2792.0,56.2,324.0,1290.0,359.0,75.0,1593.0,15913.0,1567.0,323.0,42.0,134.0,633.0,199.0,84.0,66.0,1.0,739.0,55.0,287.0,756.0,22.24,561.0,73.0,41.0,33.0,86.0,2.53,57.0,6.0,7.0,8.0,3.0,550.0,321.0,254.0,208.0,88.0,326.0,87.0,239.0,360.0,649.0,9.0,21505.0,2104.0,6183.0,9779.0,5793.0,849.0,21497.0,11981.0,670.0,485.0,143.0,13599.0,669.0,341.0,2.0,299.0,273.0,55.0,6.0,3.0,3.0,2028.0,452.0,504.0,47.3
vs Heracles Almelo,31.0,53.2,34.0,374.0,3060.0,47.0,37.0,2.0,5.0,40.0,3.0,1.38,1.09,2.47,1.32,2.41,48.6,44.7,1.43,1.31,34.0,34.0,3060.0,33.0,0.97,132.0,100.0,75.8,18.0,7.0,9.0,13.0,38.2,2.0,1.0,0.0,1.0,34.0,2.0,4.0,1.0,37.0,0.28,5.0,0.15,173.0,433.0,40.0,932.0,158.0,34.1,32.2,252.0,45.6,40.1,513.0,18.0,3.5,41.0,1.21,15.3,167.0,16.0,36.9,4.91,0.1,0.27,0.1,-1.6,0.3,14089.0,17827.0,79.0,259514.0,95736.0,5822.0,6772.0,86.0,6245.0,7200.0,86.7,1609.0,2804.0,57.4,342.0,1061.0,305.0,62.0,1405.0,16087.0,1717.0,406.0,36.0,140.0,525.0,156.0,64.0,63.0,0.0,826.0,23.0,306.0,782.0,23.0,555.0,83.0,50.0,44.0,82.0,2.41,63.0,4.0,6.0,6.0,1.0,632.0,363.0,265.0,275.0,92.0,401.0,129.0,272.0,332.0,628.0,12.0,22054.0,2150.0,6979.0,10211.0,5055.0,791.0,22049.0,12821.0,476.0,398.0,151.0,13970.0,688.0,356.0,0.0,332.0,348.0,23.0,5.0,2.0,1.0,1983.0,500.0,476.0,51.2
vs NEC Nijmegen,25.0,52.6,34.0,374.0,3060.0,51.0,35.0,3.0,4.0,59.0,5.0,1.5,1.03,2.53,1.41,2.44,56.6,53.4,1.66,1.57,34.0,34.0,3058.0,38.0,1.12,155.0,117.0,76.8,16.0,8.0,10.0,10.0,29.4,3.0,2.0,0.0,1.0,34.0,1.0,5.0,0.0,40.6,0.25,2.6,0.08,193.0,517.0,37.3,917.0,132.0,43.1,35.8,180.0,67.8,49.9,370.0,15.0,4.1,57.0,1.68,17.4,160.0,15.0,31.0,4.71,0.09,0.3,0.11,-5.6,-5.4,14272.0,18171.0,78.5,256225.0,90121.0,6191.0,7133.0,86.8,6043.0,7103.0,85.1,1570.0,2865.0,54.8,408.0,1319.0,352.0,84.0,1671.0,16528.0,1624.0,371.0,28.0,113.0,752.0,203.0,93.0,72.0,3.0,794.0,19.0,315.0,928.0,27.29,673.0,85.0,43.0,48.0,87.0,2.56,60.0,5.0,10.0,3.0,3.0,688.0,405.0,283.0,295.0,110.0,392.0,121.0,271.0,381.0,510.0,22.0,22346.0,1840.0,5665.0,10538.0,6349.0,905.0,22342.0,12882.0,677.0,506.0,167.0,14146.0,623.0,316.0,1.0,410.0,319.0,19.0,3.0,3.0,0.0,2108.0,508.0,471.0,51.9
