team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Augsburg,34.0,58.3,34.0,374.0,3060.0,61.0,46.0,1.0,4.0,66.0,0.0,1.79,1.35,3.15,1.76,3.12,58.8,55.7,1.73,1.64,34.0,34.0,3060.0,42.0,1.24,105.0,64.0,63.8,18.0,7.0,9.0,7.0,20.6,5.0,4.0,0.0,1.0,34.0,0.0,6.0,1.0,34.0,0.29,-7.0,-0.21,260.0,636.0,40.9,1292.0,179.0,41.4,35.9,201.0,50.2,41.6,427.0,37.0,8.7,59.0,1.74,17.2,198.0,13.0,37.0,5.82,0.11,0.3,0.11,2.2,4.3,13841.0,18024.0,76.8,252155.0,99254.0,5992.0,6995.0,85.7,5949.0,7081.0,84.0,1561.0,2925.0,53.4,400.0,1117.0,325.0,88.0,1458.0,16282.0,1663.0,470.0,56.0,83.0,708.0,165.0,64.0,81.0,0.0,716.0,79.0,349.0,921.0,27.09,672.0,93.0,64.0,43.0,108.0,3.18,75.0,9.0,8.0,8.0,2.0,500.0,302.0,231.0,200.0,69.0,387.0,99.0,288.0,262.0,701.0,7.0,21970.0,2268.0,7071.0,9767.0,5325.0,919.0,21966.0,12276.0,597.0,438.0,190.0,13659.0,580.0,290.0,0.0,374.0,410.0,79.0,3.0,5.0,1.0,1982.0,777.0,640.0,54.8
vs Bayern Munich,28.0,35.8,34.0,374.0,3060.0,38.0,22.0,9.0,10.0,50.0,0.0,1.12,0.65,1.76,0.85,1.5,37.1,29.7,1.09,0.87,34.0,34.0,3060.0,92.0,2.71,256.0,164.0,65.2,5.0,8.0,21.0,1.0,2.9,5.0,3.0,2.0,0.0,34.0,1.0,7.0,2.0,80.3,0.3,-9.7,-0.29,273.0,587.0,46.5,1045.0,137.0,40.5,36.5,291.0,56.4,45.5,500.0,23.0,4.6,36.0,1.06,14.7,97.0,8.0,32.1,2.85,0.1,0.3,0.1,0.9,-0.7,9411.0,12829.0,73.4,177710.0,76294.0,4054.0,4829.0,84.0,3857.0,4768.0,80.9,1260.0,2389.0,52.7,216.0,677.0,180.0,46.0,879.0,11249.0,1531.0,363.0,17.0,116.0,454.0,126.0,61.0,49.0,1.0,608.0,49.0,344.0,523.0,15.38,359.0,53.0,35.0,28.0,65.0,1.91,40.0,7.0,6.0,9.0,2.0,716.0,417.0,342.0,301.0,73.0,442.0,159.0,283.0,414.0,711.0,12.0,16907.0,2576.0,6902.0,6685.0,3516.0,545.0,16897.0,8570.0,354.0,309.0,89.0,9334.0,500.0,336.0,0.0,347.0,292.0,49.0,8.0,5.0,2.0,1887.0,381.0,471.0,44.7
vs Bochum,26.0,53.9,34.0,374.0,3060.0,69.0,40.0,8.0,14.0,62.0,2.0,2.03,1.18,3.21,1.79,2.97,65.7,54.5,1.93,1.6,34.0,34.0,3060.0,40.0,1.18,130.0,93.0,71.5,19.0,5.0,10.0,12.0,35.3,3.0,3.0,0.0,0.0,34.0,0.0,8.0,3.0,39.2,0.28,2.2,0.07,211.0,598.0,35.3,1167.0,197.0,39.5,35.7,250.0,54.8,44.6,448.0,40.0,8.9,37.0,1.09,13.8,189.0,20.0,36.3,5.56,0.12,0.32,0.11,3.3,6.5,11742.0,16038.0,73.2,219649.0,90652.0,5106.0,6094.0,83.8,4821.0,6031.0,79.9,1535.0,3027.0,50.7,371.0,908.0,325.0,73.0,1247.0,14119.0,1855.0,455.0,34.0,131.0,676.0,195.0,84.0,90.0,1.0,853.0,64.0,319.0,923.0,27.15,631.0,102.0,68.0,54.0,112.0,3.29,60.0,11.0,18.0,12.0,2.0,453.0,286.0,213.0,180.0,60.0,346.0,102.0,244.0,282.0,739.0,8.0,19950.0,2379.0,7250.0,8213.0,4698.0,921.0,19936.0,10351.0,525.0,303.0,149.0,11607.0,537.0,316.0,1.0,370.0,414.0,64.0,13.0,3.0,3.0,2036.0,737.0,770.0,48.9
vs Dortmund,30.0,41.8,34.0,374.0,3060.0,43.0,31.0,1.0,1.0,79.0,5.0,1.26,0.91,2.18,1.24,2.15,43.2,42.4,1.27,1.25,34.0,34.0,3059.0,83.0,2.44,224.0,142.0,64.7,7.0,5.0,22.0,3.0,8.8,6.0,4.0,1.0,1.0,34.0,1.0,7.0,2.0,71.2,0.31,-9.8,-0.29,157.0,418.0,37.6,988.0,156.0,31.0,32.4,271.0,41.3,39.6,558.0,36.0,6.5,47.0,1.38,15.3,150.0,9.0,36.7,4.41,0.1,0.28,0.11,-0.2,-0.4,11021.0,14394.0,76.6,200711.0,80724.0,4703.0,5513.0,85.3,4799.0,5688.0,84.4,1243.0,2321.0,53.6,316.0,868.0,227.0,65.0,1064.0,12810.0,1498.0,353.0,51.0,86.0,476.0,153.0,55.0,75.0,1.0,595.0,86.0,309.0,703.0,20.68,505.0,68.0,44.0,39.0,73.0,2.15,57.0,5.0,6.0,2.0,1.0,722.0,439.0,367.0,277.0,78.0,462.0,124.0,338.0,338.0,727.0,11.0,18449.0,2399.0,6827.0,7857.0,3970.0,644.0,18448.0,9359.0,452.0,333.0,126.0,10935.0,485.0,293.0,3.0,422.0,309.0,86.0,1.0,6.0,2.0,1854.0,364.0,425.0,46.1
vs Eint Frankfurt,28.0,47.1,34.0,374.0,3060.0,51.0,41.0,2.0,2.0,78.0,2.0,1.5,1.21,2.71,1.44,2.65,43.5,41.9,1.28,1.23,34.0,34.0,3060.0,58.0,1.71,138.0,82.0,62.3,10.0,11.0,13.0,5.0,14.7,6.0,6.0,0.0,0.0,34.0,2.0,6.0,2.0,47.4,0.3,-8.6,-0.25,202.0,493.0,41.0,1198.0,164.0,32.0,32.0,255.0,43.1,39.4,466.0,35.0,7.5,54.0,1.59,15.8,134.0,12.0,36.2,3.94,0.13,0.37,0.12,7.5,7.1,12292.0,16233.0,75.7,230503.0,86018.0,4872.0,5794.0,84.1,5737.0,6783.0,84.6,1412.0,2745.0,51.4,256.0,857.0,222.0,56.0,1129.0,14486.0,1689.0,478.0,34.0,88.0,520.0,141.0,56.0,73.0,0.0,721.0,58.0,357.0,644.0,18.94,437.0,65.0,48.0,42.0,92.0,2.71,54.0,9.0,6.0,9.0,1.0,624.0,360.0,311.0,242.0,71.0,432.0,101.0,331.0,377.0,734.0,9.0,20346.0,2465.0,7506.0,8958.0,4084.0,718.0,20344.0,11183.0,435.0,301.0,120.0,12192.0,549.0,297.0,1.0,399.0,406.0,58.0,2.0,6.0,2.0,1985.0,555.0,467.0,54.3
vs Freiburg,27.0,51.9,34.0,374.0,3060.0,44.0,28.0,5.0,6.0,80.0,5.0,1.29,0.82,2.12,1.15,1.97,48.8,44.1,1.44,1.3,34.0,34.0,3060.0,51.0,1.5,175.0,123.0,74.9,9.0,8.0,17.0,7.0,20.6,8.0,7.0,1.0,0.0,34.0,3.0,10.0,0.0,50.9,0.25,-0.1,0.0,193.0,496.0,38.9,1284.0,168.0,29.5,30.6,218.0,53.7,43.2,432.0,27.0,6.3,53.0,1.56,16.9,145.0,9.0,33.1,4.26,0.09,0.27,0.1,-4.8,-5.1,13030.0,16835.0,77.4,235183.0,89097.0,5520.0,6460.0,85.4,5929.0,6997.0,84.7,1275.0,2512.0,50.8,340.0,972.0,296.0,68.0,1220.0,15223.0,1568.0,443.0,49.0,88.0,548.0,148.0,60.0,68.0,2.0,659.0,44.0,303.0,760.0,22.35,565.0,76.0,37.0,39.0,77.0,2.26,62.0,2.0,5.0,5.0,1.0,440.0,243.0,217.0,168.0,55.0,364.0,98.0,266.0,287.0,679.0,11.0,20452.0,2264.0,7358.0,8845.0,4448.0,801.0,20446.0,11386.0,527.0,382.0,152.0,12868.0,475.0,291.0,2.0,440.0,391.0,44.0,5.0,8.0,0.0,1845.0,686.0,743.0,48.0
vs Hertha BSC,32.0,58.0,34.0,374.0,3060.0,69.0,51.0,5.0,6.0,47.0,1.0,2.03,1.5,3.53,1.88,3.38,60.0,55.5,1.76,1.63,34.0,34.0,3060.0,42.0,1.24,128.0,86.0,72.7,19.0,8.0,7.0,8.0,23.5,7.0,7.0,0.0,0.0,34.0,0.0,2.0,0.0,38.5,0.25,-3.5,-0.1,175.0,480.0,36.5,1094.0,158.0,32.5,32.6,253.0,49.0,42.0,405.0,20.0,4.9,50.0,1.47,16.1,164.0,22.0,35.0,4.82,0.14,0.39,0.12,9.0,8.5,13867.0,18039.0,76.9,250228.0,93013.0,5895.0,6904.0,85.4,6118.0,7220.0,84.7,1473.0,2855.0,51.6,366.0,1058.0,307.0,78.0,1328.0,16064.0,1899.0,449.0,47.0,111.0,652.0,203.0,90.0,79.0,2.0,902.0,76.0,349.0,832.0,24.47,587.0,90.0,52.0,46.0,120.0,3.53,78.0,12.0,11.0,8.0,1.0,617.0,384.0,272.0,278.0,67.0,350.0,93.0,257.0,299.0,645.0,9.0,21919.0,2129.0,7146.0,9934.0,5053.0,796.0,21913.0,12197.0,535.0,411.0,153.0,13753.0,554.0,325.0,0.0,412.0,400.0,76.0,2.0,7.0,0.0,1933.0,701.0,633.0,52.5
vs Hoffenheim,31.0,51.7,34.0,374.0,3060.0,56.0,45.0,2.0,3.0,63.0,2.0,1.65,1.32,2.97,1.59,2.91,51.1,48.7,1.5,1.43,34.0,34.0,3060.0,48.0,1.41,138.0,91.0,70.3,18.0,6.0,10.0,7.0,20.6,9.0,7.0,1.0,1.0,34.0,1.0,3.0,2.0,47.5,0.29,1.5,0.04,239.0,592.0,40.4,1156.0,133.0,38.4,34.8,231.0,64.1,49.3,450.0,19.0,4.2,56.0,1.65,18.5,159.0,9.0,33.3,4.68,0.11,0.34,0.1,4.9,5.3,12906.0,16768.0,77.0,235808.0,93447.0,5651.0,6568.0,86.0,5435.0,6494.0,83.7,1515.0,2776.0,54.6,371.0,945.0,325.0,98.0,1338.0,14896.0,1807.0,527.0,43.0,104.0,652.0,187.0,70.0,76.0,0.0,760.0,65.0,349.0,838.0,24.65,625.0,76.0,54.0,32.0,94.0,2.76,70.0,6.0,9.0,3.0,0.0,526.0,316.0,281.0,189.0,56.0,386.0,98.0,288.0,314.0,606.0,8.0,20608.0,2116.0,6832.0,9102.0,4900.0,842.0,20605.0,11555.0,604.0,418.0,165.0,12765.0,550.0,307.0,1.0,382.0,458.0,65.0,1.0,9.0,2.0,1931.0,557.0,550.0,50.3
vs Köln,27.0,50.1,34.0,374.0,3060.0,51.0,37.0,4.0,5.0,64.0,4.0,1.5,1.09,2.59,1.38,2.47,42.6,38.7,1.25,1.14,34.0,34.0,3060.0,49.0,1.44,150.0,104.0,70.0,12.0,12.0,10.0,13.0,38.2,4.0,4.0,0.0,0.0,34.0,0.0,4.0,3.0,47.2,0.3,1.2,0.04,202.0,502.0,40.2,1315.0,149.0,29.8,32.3,250.0,44.0,39.8,604.0,38.0,6.3,56.0,1.65,16.6,124.0,14.0,33.4,3.65,0.13,0.38,0.11,8.4,8.3,12817.0,16789.0,76.3,242447.0,92419.0,5059.0,5978.0,84.6,5825.0,6921.0,84.2,1630.0,2902.0,56.2,269.0,885.0,225.0,71.0,1157.0,14939.0,1795.0,448.0,29.0,121.0,598.0,156.0,70.0,59.0,0.0,850.0,55.0,370.0,664.0,19.53,465.0,66.0,45.0,40.0,93.0,2.74,65.0,5.0,6.0,10.0,0.0,523.0,305.0,242.0,228.0,53.0,447.0,114.0,333.0,287.0,786.0,6.0,20809.0,2572.0,7931.0,8676.0,4413.0,695.0,20804.0,11381.0,470.0,342.0,121.0,12723.0,516.0,305.0,1.0,369.0,386.0,55.0,4.0,4.0,3.0,1936.0,608.0,659.0,48.0
vs Leverkusen,27.0,48.0,34.0,374.0,3060.0,47.0,29.0,7.0,7.0,95.0,1.0,1.38,0.85,2.24,1.18,2.03,42.8,37.3,1.26,1.1,34.0,34.0,3060.0,57.0,1.68,166.0,108.0,68.7,12.0,8.0,14.0,9.0,26.5,7.0,5.0,1.0,1.0,34.0,2.0,4.0,0.0,51.5,0.28,-5.5,-0.16,234.0,526.0,44.5,1151.0,141.0,36.3,33.1,206.0,52.4,43.2,375.0,24.0,6.4,41.0,1.21,17.0,139.0,19.0,36.0,4.09,0.1,0.29,0.1,4.2,2.7,13329.0,16950.0,78.6,242909.0,88868.0,5702.0,6537.0,87.2,5954.0,6929.0,85.9,1388.0,2613.0,53.1,280.0,973.0,246.0,60.0,1254.0,15411.0,1477.0,397.0,35.0,91.0,525.0,131.0,68.0,54.0,2.0,641.0,62.0,304.0,651.0,19.15,465.0,64.0,42.0,38.0,79.0,2.32,56.0,6.0,5.0,9.0,2.0,595.0,326.0,232.0,263.0,100.0,388.0,109.0,279.0,334.0,527.0,7.0,20578.0,2068.0,6534.0,9823.0,4414.0,688.0,20571.0,11852.0,481.0,374.0,132.0,13202.0,515.0,258.0,1.0,433.0,358.0,62.0,6.0,7.0,0.0,1928.0,492.0,430.0,53.4
