player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Francesco Acerbi,it ITA,DF,Lazio,31,1988,36.0,36.0,3162.0,2.0,2.0,0.0,0.0,4.0,0.0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,0.07,0.07,35.1,5.0,0.0,31.3,0.14,0.13,0.4,0.15,-0.4,-0.4,1844.0,2073.0,89.0,38047.0,14343.0,636.0,686.0,92.7,903.0,970.0,93.1,279.0,371.0,75.2,8.0,149.0,15.0,5.0,150.0,1979.0,93.0,69.0,3.0,38.0,26.0,1.0,0.0,0.0,0.0,23.0,1.0,12.0,37.0,1.05,34.0,0.0,2.0,1.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,59.0,29.0,42.0,12.0,5.0,40.0,27.0,13.0,42.0,109.0,1.0,2387.0,300.0,1093.0,1125.0,184.0,30.0,2387.0,1391.0,57.0,22.0,0.0,1599.0,12.0,7.0,0.0,26.0,41.0,5.0,1.0,0.0,0.0,179.0,56.0,32.0,63.6
Bobby Adekanye,nl NED,FW,Lazio,20,1999,11.0,0.0,188.0,1.0,0.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,1.4,1.4,0.65,0.65,2.1,4.0,0.0,80.0,1.91,0.2,0.25,0.27,-0.4,-0.4,38.0,43.0,88.4,500.0,64.0,20.0,24.0,83.3,12.0,12.0,100.0,2.0,2.0,100.0,3.0,0.0,1.0,1.0,2.0,42.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.35,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,62.0,1.0,6.0,31.0,26.0,10.0,62.0,43.0,6.0,2.0,5.0,49.0,3.0,6.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0
Claud Adjapong,it ITA,DF,Hellas Verona,21,1998,5.0,2.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.09,0.09,2.6,1.0,0.0,33.3,0.39,0.0,0.0,0.08,-0.2,-0.2,58.0,83.0,69.9,852.0,314.0,35.0,42.0,83.3,16.0,25.0,64.0,3.0,7.0,42.9,0.0,3.0,0.0,0.0,5.0,69.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,4.0,3.0,1.0,3.0,7.0,0.0,110.0,15.0,34.0,40.0,36.0,6.0,110.0,54.0,4.0,4.0,0.0,61.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,11.0,3.0,4.0,42.9
Lucien Agoume,fr FRA,MF,Inter,17,2002,3.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,92.1,619.0,208.0,14.0,14.0,100.0,17.0,19.0,89.5,4.0,4.0,100.0,1.0,5.0,2.0,1.0,7.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,1.0,1.32,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,45.0,0.0,8.0,25.0,12.0,0.0,45.0,33.0,1.0,0.0,0.0,30.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,20,1998,3.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.26,0.26,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.2,-0.2,29.0,37.0,78.4,403.0,135.0,18.0,23.0,78.3,8.0,9.0,88.9,2.0,3.0,66.7,2.0,2.0,1.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.84,4.0,0.0,0.0,0.0,1.0,1.41,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,6.0,25.0,21.0,4.0,50.0,35.0,1.0,1.0,1.0,31.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Kevin Agudelo,co COL,"MF,FW",Genoa,20,1998,10.0,7.0,666.0,1.0,1.0,0.0,0.0,5.0,1.0,0.14,0.14,0.27,0.14,0.27,1.2,1.2,0.17,0.17,7.4,2.0,0.0,20.0,0.27,0.1,0.5,0.12,-0.2,-0.2,239.0,293.0,81.6,3277.0,893.0,143.0,161.0,88.8,70.0,80.0,87.5,12.0,18.0,66.7,12.0,21.0,5.0,0.0,41.0,292.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,32.0,4.33,24.0,0.0,0.0,1.0,2.0,0.27,1.0,0.0,0.0,0.0,1.0,23.0,14.0,9.0,12.0,2.0,12.0,1.0,11.0,6.0,2.0,0.0,387.0,7.0,73.0,195.0,130.0,18.0,387.0,264.0,39.0,23.0,6.0,271.0,15.0,15.0,1.0,20.0,11.0,1.0,0.0,1.0,0.0,30.0,3.0,6.0,33.3
Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,10.0,2.0,230.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,104.0,86.5,1561.0,243.0,41.0,45.0,91.1,40.0,46.0,87.0,8.0,10.0,80.0,1.0,5.0,1.0,0.0,7.0,102.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,6.0,0.0,129.0,6.0,23.0,86.0,20.0,1.0,129.0,83.0,2.0,2.0,1.0,88.0,9.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,10.0,5.0,12.0,29.4
Ola Aina,ng NGA,DF,Torino,22,1996,32.0,20.0,2079.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,0.02,0.02,23.1,2.0,0.0,16.7,0.09,0.0,0.0,0.04,-0.4,-0.4,862.0,1185.0,72.7,13825.0,5497.0,488.0,564.0,86.5,282.0,379.0,74.4,77.0,175.0,44.0,22.0,57.0,17.0,13.0,80.0,936.0,243.0,14.0,1.0,5.0,62.0,4.0,0.0,0.0,0.0,225.0,6.0,27.0,55.0,2.38,31.0,12.0,1.0,7.0,6.0,0.26,3.0,1.0,0.0,2.0,0.0,45.0,24.0,23.0,18.0,4.0,24.0,6.0,18.0,41.0,61.0,0.0,1478.0,70.0,422.0,679.0,399.0,27.0,1478.0,718.0,86.0,51.0,8.0,817.0,32.0,21.0,0.0,25.0,36.0,2.0,0.0,0.0,0.0,130.0,28.0,26.0,51.9
Luis Alberto,es ESP,MF,Lazio,26,1992,36.0,36.0,3113.0,6.0,15.0,1.0,1.0,5.0,0.0,0.17,0.43,0.61,0.14,0.58,6.6,5.8,0.19,0.17,34.6,27.0,11.0,27.8,0.78,0.05,0.19,0.06,-0.6,-0.8,1793.0,2296.0,78.1,30192.0,10809.0,843.0,950.0,88.7,685.0,810.0,84.6,196.0,364.0,53.8,106.0,303.0,90.0,7.0,371.0,1977.0,295.0,69.0,28.0,18.0,177.0,151.0,51.0,73.0,0.0,21.0,24.0,38.0,225.0,6.5,149.0,40.0,14.0,1.0,29.0,0.84,23.0,2.0,1.0,1.0,2.0,50.0,30.0,21.0,19.0,10.0,32.0,1.0,31.0,21.0,9.0,1.0,2653.0,14.0,260.0,1371.0,1086.0,98.0,2652.0,1620.0,203.0,171.0,29.0,1901.0,51.0,47.0,0.0,20.0,38.0,0.0,0.0,0.0,0.0,217.0,7.0,14.0,33.3
Enrico Alfonso,it ITA,GK,Brescia,31,1988,4.0,4.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,80.0,72.5,1478.0,1039.0,11.0,11.0,100.0,31.0,32.0,96.9,16.0,37.0,43.2,0.0,0.0,0.0,0.0,0.0,42.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,67.0,85.0,0.0,0.0,0.0,85.0,27.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
