team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
vs Arminia,26.0,59.5,34.0,374.0,3060.0,51.0,34.0,7.0,7.0,59.0,0.0,1.5,1.0,2.5,1.29,2.29,62.8,57.5,1.85,1.69,34.0,34.0,3060.0,27.0,0.79,111.0,85.0,77.5,16.0,13.0,5.0,13.0,38.2,2.0,2.0,0.0,0.0,34.0,0.0,1.0,1.0,27.9,0.25,1.9,0.06,194.0,473.0,41.0,1174.0,186.0,30.7,31.8,230.0,49.1,40.9,378.0,27.0,7.1,42.0,1.24,16.0,173.0,14.0,33.2,5.09,0.08,0.25,0.11,-11.8,-13.5,15867.0,20046.0,79.2,286424.0,107306.0,6804.0,7870.0,86.5,6982.0,8124.0,85.9,1685.0,2972.0,56.7,392.0,1102.0,370.0,109.0,1559.0,18187.0,1771.0,459.0,55.0,126.0,682.0,197.0,92.0,83.0,1.0,808.0,88.0,320.0,926.0,27.24,697.0,84.0,53.0,46.0,90.0,2.65,65.0,3.0,6.0,8.0,2.0,590.0,345.0,270.0,242.0,78.0,400.0,108.0,292.0,349.0,653.0,11.0,24123.0,2206.0,8093.0,11101.0,5141.0,923.0,24116.0,13766.0,618.0,468.0,141.0,15731.0,639.0,311.0,0.0,315.0,412.0,88.0,5.0,2.0,1.0,2062.0,734.0,658.0,52.7
vs Augsburg,26.0,58.8,34.0,374.0,3060.0,54.0,40.0,5.0,5.0,59.0,0.0,1.59,1.18,2.76,1.44,2.62,57.9,54.2,1.7,1.59,34.0,34.0,3060.0,39.0,1.15,122.0,83.0,72.1,16.0,8.0,10.0,9.0,26.5,5.0,5.0,0.0,0.0,34.0,0.0,7.0,0.0,36.4,0.26,-2.6,-0.08,188.0,496.0,37.9,1193.0,158.0,31.2,32.3,251.0,49.4,41.6,468.0,26.0,5.6,67.0,1.97,17.7,151.0,23.0,31.3,4.44,0.1,0.32,0.11,-3.9,-5.2,14770.0,18679.0,79.1,266770.0,100941.0,6244.0,7261.0,86.0,6511.0,7603.0,85.6,1608.0,2778.0,57.9,353.0,1112.0,313.0,72.0,1537.0,16797.0,1825.0,487.0,50.0,95.0,685.0,195.0,83.0,86.0,1.0,805.0,57.0,324.0,834.0,24.53,586.0,68.0,62.0,56.0,91.0,2.68,67.0,4.0,4.0,6.0,0.0,547.0,324.0,254.0,231.0,62.0,337.0,81.0,256.0,361.0,606.0,11.0,22478.0,2155.0,7245.0,10432.0,5024.0,826.0,22473.0,12489.0,561.0,401.0,168.0,14668.0,594.0,311.0,0.0,381.0,427.0,57.0,3.0,5.0,0.0,1910.0,604.0,557.0,52.0
vs Bayern Munich,30.0,35.2,34.0,374.0,3060.0,36.0,28.0,2.0,2.0,49.0,0.0,1.06,0.82,1.88,1.0,1.82,36.3,34.7,1.07,1.02,34.0,34.0,3060.0,97.0,2.85,260.0,168.0,64.6,5.0,5.0,24.0,0.0,0.0,5.0,5.0,0.0,0.0,34.0,1.0,11.0,5.0,88.1,0.33,-3.9,-0.12,227.0,567.0,40.0,1016.0,182.0,39.5,35.7,334.0,49.7,42.1,522.0,16.0,3.1,45.0,1.32,14.9,110.0,9.0,34.9,3.24,0.11,0.31,0.11,-0.3,-0.7,9519.0,13089.0,72.7,171409.0,76219.0,4271.0,5131.0,83.2,3665.0,4548.0,80.6,1194.0,2385.0,50.1,219.0,645.0,193.0,48.0,918.0,11510.0,1497.0,362.0,38.0,80.0,441.0,107.0,61.0,30.0,1.0,543.0,82.0,300.0,521.0,15.32,365.0,51.0,24.0,30.0,64.0,1.88,51.0,3.0,2.0,2.0,1.0,678.0,386.0,367.0,236.0,75.0,457.0,154.0,303.0,498.0,798.0,22.0,17397.0,2841.0,7477.0,6712.0,3405.0,554.0,17395.0,8893.0,439.0,348.0,125.0,9449.0,595.0,304.0,0.0,376.0,296.0,82.0,1.0,5.0,5.0,2086.0,394.0,422.0,48.3
vs Bochum,28.0,55.5,34.0,374.0,3060.0,48.0,34.0,5.0,8.0,68.0,0.0,1.41,1.0,2.41,1.26,2.26,55.8,50.4,1.64,1.48,34.0,34.0,3060.0,38.0,1.12,141.0,103.0,75.9,16.0,6.0,12.0,13.0,38.2,6.0,4.0,1.0,1.0,34.0,1.0,3.0,1.0,39.1,0.25,2.1,0.06,197.0,557.0,35.4,1200.0,179.0,36.7,33.5,247.0,47.4,39.0,449.0,30.0,6.7,65.0,1.91,19.1,169.0,10.0,36.2,4.97,0.09,0.25,0.11,-7.8,-7.4,12790.0,16907.0,75.6,227291.0,92816.0,5654.0,6564.0,86.1,5423.0,6603.0,82.1,1325.0,2693.0,49.2,350.0,1033.0,300.0,65.0,1406.0,15041.0,1819.0,460.0,53.0,100.0,581.0,178.0,81.0,81.0,2.0,850.0,47.0,330.0,787.0,23.15,563.0,77.0,54.0,36.0,72.0,2.12,47.0,7.0,5.0,7.0,3.0,498.0,314.0,242.0,205.0,51.0,313.0,86.0,227.0,293.0,591.0,13.0,20636.0,2173.0,6917.0,9252.0,4679.0,793.0,20628.0,11633.0,600.0,418.0,150.0,12641.0,598.0,289.0,0.0,412.0,401.0,49.0,3.0,6.0,1.0,2064.0,599.0,609.0,49.6
vs Dortmund,33.0,40.4,34.0,374.0,3060.0,50.0,32.0,6.0,6.0,69.0,0.0,1.47,0.94,2.41,1.29,2.24,46.3,41.6,1.36,1.22,34.0,34.0,3060.0,85.0,2.5,176.0,95.0,58.0,9.0,3.0,22.0,1.0,2.9,11.0,11.0,0.0,0.0,34.0,1.0,7.0,4.0,65.7,0.33,-15.3,-0.45,194.0,556.0,34.9,1122.0,172.0,38.5,35.2,236.0,52.5,43.0,400.0,14.0,3.5,51.0,1.5,17.2,130.0,15.0,35.6,3.82,0.12,0.34,0.12,3.7,2.4,10982.0,14551.0,75.5,202700.0,79392.0,4653.0,5455.0,85.3,4738.0,5649.0,83.9,1326.0,2589.0,51.2,258.0,788.0,230.0,62.0,1056.0,12940.0,1544.0,409.0,46.0,115.0,510.0,145.0,79.0,54.0,1.0,620.0,67.0,305.0,624.0,18.35,423.0,61.0,43.0,43.0,85.0,2.5,57.0,4.0,10.0,7.0,1.0,594.0,342.0,292.0,229.0,73.0,402.0,104.0,298.0,481.0,573.0,12.0,18431.0,2278.0,6829.0,7906.0,3895.0,627.0,18425.0,9569.0,490.0,350.0,126.0,10894.0,615.0,286.0,0.0,418.0,350.0,67.0,4.0,11.0,4.0,1978.0,363.0,419.0,46.4
vs Eint Frankfurt,27.0,50.4,34.0,374.0,3060.0,48.0,33.0,4.0,4.0,61.0,1.0,1.41,0.97,2.38,1.29,2.26,47.0,43.8,1.38,1.29,34.0,34.0,3060.0,45.0,1.32,138.0,94.0,68.1,12.0,12.0,10.0,10.0,29.4,2.0,1.0,1.0,0.0,34.0,1.0,10.0,2.0,37.9,0.27,-5.1,-0.15,220.0,580.0,37.9,1225.0,122.0,37.6,33.9,273.0,44.0,38.5,525.0,23.0,4.4,66.0,1.94,19.7,161.0,12.0,37.6,4.74,0.1,0.27,0.1,1.0,0.2,13117.0,17401.0,75.4,237467.0,94128.0,5571.0,6627.0,84.1,5620.0,6778.0,82.9,1513.0,2850.0,53.1,319.0,891.0,299.0,86.0,1236.0,15561.0,1756.0,453.0,32.0,101.0,585.0,160.0,81.0,45.0,0.0,776.0,84.0,369.0,739.0,21.74,537.0,71.0,48.0,32.0,77.0,2.26,52.0,6.0,8.0,6.0,1.0,552.0,317.0,285.0,209.0,58.0,420.0,125.0,295.0,417.0,721.0,10.0,21621.0,2536.0,7758.0,9624.0,4449.0,778.0,21617.0,11468.0,519.0,352.0,122.0,12998.0,660.0,312.0,0.0,324.0,392.0,84.0,3.0,2.0,2.0,2300.0,644.0,552.0,53.8
vs Freiburg,26.0,50.8,34.0,374.0,3060.0,45.0,35.0,2.0,2.0,65.0,2.0,1.32,1.03,2.35,1.26,2.29,44.0,42.5,1.29,1.25,34.0,34.0,3060.0,58.0,1.71,159.0,103.0,66.7,9.0,10.0,15.0,6.0,17.6,6.0,5.0,1.0,0.0,34.0,2.0,9.0,3.0,51.9,0.3,-3.1,-0.09,195.0,484.0,40.3,1127.0,147.0,32.7,32.2,266.0,43.2,39.6,510.0,18.0,3.5,50.0,1.47,15.9,151.0,12.0,31.5,4.44,0.09,0.28,0.09,1.0,0.5,12623.0,16596.0,76.1,232846.0,88648.0,5266.0,6303.0,83.5,5575.0,6687.0,83.4,1462.0,2745.0,53.3,363.0,947.0,281.0,77.0,1123.0,14810.0,1732.0,432.0,40.0,106.0,622.0,175.0,86.0,70.0,0.0,758.0,54.0,249.0,819.0,24.09,591.0,78.0,59.0,43.0,75.0,2.21,57.0,5.0,5.0,4.0,2.0,413.0,239.0,181.0,161.0,71.0,387.0,100.0,287.0,333.0,692.0,11.0,20400.0,2340.0,7206.0,8899.0,4481.0,808.0,20398.0,10866.0,582.0,392.0,153.0,12499.0,555.0,303.0,1.0,396.0,377.0,54.0,1.0,6.0,3.0,1858.0,638.0,675.0,48.6
vs Greuther Fürth,29.0,56.6,34.0,374.0,3060.0,77.0,56.0,6.0,6.0,49.0,2.0,2.26,1.65,3.91,2.09,3.74,60.2,55.5,1.77,1.63,34.0,34.0,3060.0,28.0,0.82,101.0,75.0,77.2,22.0,9.0,3.0,11.0,32.4,5.0,5.0,0.0,0.0,34.0,1.0,3.0,2.0,31.6,0.26,5.6,0.16,169.0,386.0,43.8,1001.0,151.0,30.6,32.4,203.0,39.4,37.7,381.0,25.0,6.6,59.0,1.74,17.8,182.0,15.0,36.0,5.35,0.14,0.39,0.11,16.8,15.5,14382.0,18256.0,78.8,265804.0,102041.0,5927.0,6936.0,85.5,6346.0,7396.0,85.8,1721.0,2866.0,60.0,380.0,1106.0,350.0,104.0,1501.0,16478.0,1723.0,480.0,56.0,133.0,678.0,185.0,73.0,78.0,0.0,782.0,55.0,327.0,907.0,26.68,661.0,97.0,61.0,48.0,131.0,3.85,87.0,12.0,12.0,12.0,0.0,578.0,325.0,266.0,251.0,61.0,368.0,82.0,286.0,312.0,549.0,7.0,22142.0,1925.0,6953.0,10329.0,5051.0,873.0,22136.0,12117.0,619.0,413.0,150.0,14278.0,587.0,298.0,1.0,451.0,421.0,55.0,5.0,5.0,2.0,2015.0,602.0,468.0,56.3
vs Hertha BSC,36.0,56.5,34.0,374.0,3060.0,71.0,44.0,8.0,8.0,47.0,0.0,2.09,1.29,3.38,1.85,3.15,54.3,48.1,1.6,1.41,34.0,34.0,3060.0,37.0,1.09,122.0,87.0,72.1,19.0,6.0,9.0,8.0,23.5,3.0,3.0,0.0,0.0,34.0,1.0,3.0,2.0,32.6,0.25,-2.4,-0.07,169.0,413.0,40.9,1073.0,150.0,30.6,31.0,226.0,37.6,37.0,411.0,21.0,5.1,54.0,1.59,17.0,164.0,22.0,36.0,4.82,0.14,0.38,0.11,16.7,14.9,14462.0,18324.0,78.9,262084.0,95707.0,6143.0,7079.0,86.8,6311.0,7321.0,86.2,1610.0,2821.0,57.1,332.0,1130.0,310.0,85.0,1500.0,16461.0,1772.0,460.0,52.0,139.0,698.0,194.0,88.0,78.0,2.0,814.0,91.0,317.0,803.0,23.62,565.0,81.0,48.0,55.0,119.0,3.5,80.0,10.0,12.0,10.0,2.0,561.0,333.0,215.0,269.0,77.0,372.0,75.0,297.0,353.0,526.0,11.0,22122.0,1838.0,6042.0,11128.0,5149.0,809.0,22114.0,12831.0,519.0,380.0,128.0,14351.0,605.0,294.0,0.0,451.0,400.0,91.0,6.0,3.0,2.0,1948.0,575.0,556.0,50.8
vs Hoffenheim,32.0,46.4,34.0,374.0,3060.0,59.0,46.0,2.0,4.0,47.0,3.0,1.74,1.35,3.09,1.68,3.03,54.6,51.4,1.61,1.51,34.0,34.0,3060.0,58.0,1.71,150.0,95.0,61.3,14.0,7.0,13.0,8.0,23.5,0.0,0.0,0.0,0.0,34.0,0.0,7.0,3.0,53.1,0.36,-1.9,-0.06,215.0,525.0,41.0,1214.0,155.0,33.4,33.4,270.0,44.4,38.7,545.0,30.0,5.5,38.0,1.12,14.6,159.0,8.0,37.9,4.68,0.14,0.36,0.13,4.4,5.6,12393.0,16045.0,77.2,227336.0,89547.0,5166.0,5945.0,86.9,5365.0,6337.0,84.7,1458.0,2643.0,55.2,310.0,830.0,225.0,69.0,1073.0,14197.0,1746.0,475.0,69.0,104.0,540.0,148.0,67.0,57.0,0.0,749.0,102.0,322.0,705.0,20.74,492.0,78.0,48.0,43.0,96.0,2.82,62.0,12.0,10.0,7.0,1.0,516.0,316.0,280.0,178.0,58.0,414.0,106.0,308.0,363.0,658.0,11.0,19930.0,2540.0,7577.0,8673.0,3855.0,671.0,19926.0,10875.0,509.0,343.0,123.0,12289.0,567.0,260.0,2.0,361.0,405.0,102.0,3.0,0.0,3.0,1865.0,574.0,485.0,54.2
