player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Simone Perilli,it ITA,GK,Hellas Verona,28-118,1995,1.0,1.0,90.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.19,0.8,0.75,6.0,30.0,20.0,21.0,0.0,81.0,57.3,13.0,100.0,69.8,19.0,1.0,5.3,1.0,1.0,12.0
Mattia Perin,it ITA,GK,Juventus,30-176,1992,10.0,9.0,858.0,7.0,0.73,38.0,30.0,84.2,4.0,3.0,2.0,5.0,55.6,2.0,1.0,1.0,0.0,9.5,0.0,1.0,0.0,11.0,0.24,4.0,0.42,31.0,106.0,29.2,271.0,49.0,29.9,31.1,60.0,41.7,36.5,148.0,4.0,2.7,11.0,1.15,15.7
Samuele Perisan,it ITA,GK,Empoli,25-257,1997,7.0,7.0,630.0,9.0,1.29,24.0,15.0,62.5,1.0,1.0,5.0,2.0,28.6,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,7.5,0.31,-1.5,-0.22,25.0,75.0,33.3,153.0,39.0,32.0,32.7,75.0,34.7,34.3,134.0,5.0,3.7,4.0,0.57,11.6
Ivan Provedel,it ITA,GK,Lazio,29-049,1994,33.0,32.0,2963.0,24.0,0.73,113.0,89.0,79.6,18.0,7.0,7.0,19.0,59.4,1.0,1.0,0.0,0.0,32.9,0.0,5.0,0.0,27.5,0.25,3.5,0.11,148.0,347.0,42.7,982.0,145.0,29.1,33.1,167.0,36.5,34.9,433.0,18.0,4.2,46.0,1.4,16.0
Ionuț Radu,ro ROU,GK,Cremonese,25-342,1997,9.0,9.0,810.0,19.0,2.11,64.0,45.0,75.0,0.0,3.0,6.0,1.0,11.1,3.0,3.0,0.0,0.0,9.0,0.0,3.0,0.0,21.0,0.29,2.0,0.22,38.0,143.0,26.6,265.0,34.0,41.1,37.3,67.0,50.7,46.3,107.0,6.0,5.6,9.0,1.0,14.5
Nicola Ravaglia,it ITA,GK,Sampdoria,34-144,1988,6.0,6.0,540.0,15.0,2.5,45.0,30.0,68.9,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,11.3,0.24,-3.7,-0.61,42.0,113.0,37.2,155.0,29.0,48.4,37.6,74.0,51.4,37.7,112.0,6.0,5.4,1.0,0.17,11.0
Luigi Sepe,it ITA,GK,Salernitana,31-362,1991,17.0,17.0,1530.0,27.0,1.59,87.0,57.0,73.6,4.0,5.0,8.0,3.0,17.6,7.0,4.0,3.0,0.0,17.0,0.0,0.0,0.0,30.3,0.27,3.3,0.2,76.0,274.0,27.7,490.0,84.0,40.6,35.9,154.0,48.7,41.1,222.0,16.0,7.2,13.0,0.76,14.2
Marco Silvestri,it ITA,GK,Udinese,32-064,1991,33.0,33.0,2970.0,41.0,1.24,119.0,80.0,69.7,10.0,13.0,10.0,9.0,27.3,6.0,5.0,0.0,1.0,33.0,1.0,3.0,2.0,39.1,0.29,0.1,0.0,130.0,343.0,37.9,755.0,126.0,33.0,32.7,256.0,36.7,35.2,470.0,12.0,2.6,19.0,0.58,12.3
Salvatore Sirigu,it ITA,GK,Fiorentina,36-113,1987,1.0,1.0,90.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19,1.0,0.96,6.0,16.0,37.5,30.0,9.0,40.0,37.7,8.0,50.0,41.8,12.0,0.0,0.0,2.0,2.0,26.3
Łukasz Skorupski,pl POL,GK,Bologna,32-000,1991,32.0,32.0,2880.0,43.0,1.34,140.0,98.0,74.3,11.0,9.0,12.0,6.0,18.8,9.0,7.0,2.0,0.0,32.0,1.0,6.0,3.0,43.7,0.26,3.7,0.11,134.0,340.0,39.4,813.0,178.0,31.1,32.5,235.0,37.0,34.7,422.0,24.0,5.7,23.0,0.72,13.2
Marco Sportiello,it ITA,GK,Atalanta,30-360,1992,10.0,9.0,893.0,12.0,1.21,38.0,26.0,71.1,4.0,3.0,2.0,2.0,22.2,1.0,1.0,0.0,0.0,9.9,1.0,2.0,0.0,11.1,0.27,-0.9,-0.09,43.0,116.0,37.1,231.0,59.0,22.5,29.7,87.0,73.6,52.4,142.0,14.0,9.9,15.0,1.51,16.0
Wojciech Szczęsny,pl POL,GK,Juventus,33-017,1990,24.0,24.0,2112.0,21.0,0.89,79.0,58.0,75.9,15.0,3.0,6.0,12.0,50.0,2.0,2.0,0.0,0.0,23.5,0.0,4.0,0.0,21.1,0.24,0.1,0.0,115.0,246.0,46.7,549.0,110.0,33.5,34.0,129.0,48.1,40.6,338.0,9.0,2.7,19.0,0.81,15.2
Ciprian Tătărușanu,ro ROU,GK,Milan,37-085,1986,16.0,16.0,1440.0,22.0,1.37,61.0,40.0,67.2,9.0,3.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,16.0,2.0,4.0,1.0,16.8,0.25,-4.2,-0.26,94.0,195.0,48.2,473.0,75.0,32.1,32.9,83.0,51.8,41.8,195.0,9.0,4.6,13.0,0.81,14.4
Pietro Terracciano,it ITA,GK,Fiorentina,33-058,1990,28.0,28.0,2520.0,37.0,1.32,93.0,58.0,65.6,9.0,8.0,11.0,5.0,17.9,5.0,5.0,0.0,0.0,28.0,0.0,3.0,2.0,31.1,0.28,-3.9,-0.14,149.0,355.0,42.0,822.0,108.0,33.0,33.5,186.0,45.2,40.2,268.0,12.0,4.5,52.0,1.86,18.5
Martin Turk,si SVN,GK,Sampdoria,19-257,2003,2.0,2.0,180.0,5.0,2.5,13.0,8.0,61.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.5,0.32,-1.5,-0.75,15.0,42.0,35.7,46.0,4.0,47.8,37.3,22.0,90.9,57.1,37.0,0.0,0.0,0.0,0.0,11.5
Guglielmo Vicario,it ITA,GK,Empoli,26-210,1996,26.0,26.0,2340.0,34.0,1.31,111.0,77.0,73.0,7.0,10.0,9.0,7.0,26.9,6.0,4.0,1.0,1.0,26.0,0.0,7.0,1.0,35.1,0.27,2.1,0.08,124.0,383.0,32.4,930.0,129.0,33.2,33.8,147.0,50.3,43.0,521.0,28.0,5.4,16.0,0.62,10.7
Jeroen Zoet,nl NED,GK,Spezia,32-119,1991,4.0,3.0,244.0,2.0,0.74,8.0,6.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,1.0,0.0,1.5,0.19,-0.5,-0.18,19.0,55.0,34.5,87.0,8.0,54.0,37.1,12.0,66.7,46.3,40.0,2.0,5.0,6.0,2.2,17.2
Petar Zovko,ba BIH,GK,Spezia,21-041,2002,1.0,0.0,74.0,2.0,2.43,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.7,0.55,-0.3,-0.42,7.0,21.0,33.3,23.0,3.0,47.8,35.1,13.0,76.9,51.1,24.0,1.0,4.2,2.0,2.47,17.0
